origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-03-27,ILI incidence,2024-03-24,1,IT,quantile,0.01,298.6369692279344
2024-03-27,ILI incidence,2024-03-31,2,IT,quantile,0.01,207.8661802100608
2024-03-27,ILI incidence,2024-04-07,3,IT,quantile,0.01,187.56671398562742
2024-03-27,ILI incidence,2024-04-14,4,IT,quantile,0.01,179.32751973466003
2024-03-27,ILI incidence,2024-03-24,1,IT,quantile,0.025,302.7266408697255
2024-03-27,ILI incidence,2024-03-31,2,IT,quantile,0.025,213.70856826976228
2024-03-27,ILI incidence,2024-04-07,3,IT,quantile,0.025,188.61834383637367
2024-03-27,ILI incidence,2024-04-14,4,IT,quantile,0.025,180.55442122719737
2024-03-27,ILI incidence,2024-03-24,1,IT,quantile,0.05,309.5427602727105
2024-03-27,ILI incidence,2024-03-31,2,IT,quantile,0.05,223.44588170259811
2024-03-27,ILI incidence,2024-04-07,3,IT,quantile,0.05,190.3710602542841
2024-03-27,ILI incidence,2024-04-14,4,IT,quantile,0.05,182.59925704809288
2024-03-27,ILI incidence,2024-03-24,1,IT,quantile,0.1,323.1749990786807
2024-03-27,ILI incidence,2024-03-31,2,IT,quantile,0.1,242.9205085682697
2024-03-27,ILI incidence,2024-04-07,3,IT,quantile,0.1,193.87649309010504
2024-03-27,ILI incidence,2024-04-14,4,IT,quantile,0.1,186.68892868988388
2024-03-27,ILI incidence,2024-03-24,1,IT,quantile,0.15,336.8072378846508
2024-03-27,ILI incidence,2024-03-31,2,IT,quantile,0.15,262.3951354339414
2024-03-27,ILI incidence,2024-04-07,3,IT,quantile,0.15,197.3819259259259
2024-03-27,ILI incidence,2024-04-14,4,IT,quantile,0.15,190.77860033167497
2024-03-27,ILI incidence,2024-03-24,1,IT,quantile,0.2,350.43947669062095
2024-03-27,ILI incidence,2024-03-31,2,IT,quantile,0.2,281.86976229961306
2024-03-27,ILI incidence,2024-04-07,3,IT,quantile,0.2,205.91572507831214
2024-03-27,ILI incidence,2024-04-14,4,IT,quantile,0.2,194.868271973466
2024-03-27,ILI incidence,2024-03-24,1,IT,quantile,0.25,364.07171549659114
2024-03-27,ILI incidence,2024-03-31,2,IT,quantile,0.25,301.34438916528467
2024-03-27,ILI incidence,2024-04-07,3,IT,quantile,0.25,229.28527731711807
2024-03-27,ILI incidence,2024-04-14,4,IT,quantile,0.25,198.95794361525705
2024-03-27,ILI incidence,2024-03-24,1,IT,quantile,0.3,377.70395430256116
2024-03-27,ILI incidence,2024-03-31,2,IT,quantile,0.3,320.8190160309563
2024-03-27,ILI incidence,2024-04-07,3,IT,quantile,0.3,252.654829555924
2024-03-27,ILI incidence,2024-04-14,4,IT,quantile,0.3,220.31743504698724
2024-03-27,ILI incidence,2024-03-24,1,IT,quantile,0.35,391.3361931085314
2024-03-27,ILI incidence,2024-03-31,2,IT,quantile,0.35,340.293642896628
2024-03-27,ILI incidence,2024-04-07,3,IT,quantile,0.35,276.02438179473
