"origin_date","target","target_end_date","horizon","location","output_type","output_type_id","value"
2023-12-20,"ARI incidence",2023-12-17,1,"BE","median","",1347.56779228424
2023-12-20,"ARI incidence",2023-12-17,1,"BE","quantile","0.01",859.189167384761
2023-12-20,"ARI incidence",2023-12-17,1,"BE","quantile","0.025",935.225985798682
2023-12-20,"ARI incidence",2023-12-17,1,"BE","quantile","0.05",997.016475349633
2023-12-20,"ARI incidence",2023-12-17,1,"BE","quantile","0.1",1067.84154115832
2023-12-20,"ARI incidence",2023-12-17,1,"BE","quantile","0.15",1113.90901068451
2023-12-20,"ARI incidence",2023-12-17,1,"BE","quantile","0.2",1155.19642110634
2023-12-20,"ARI incidence",2023-12-17,1,"BE","quantile","0.25",1192.98303607078
2023-12-20,"ARI incidence",2023-12-17,1,"BE","quantile","0.3",1229.51690754233
2023-12-20,"ARI incidence",2023-12-17,1,"BE","quantile","0.35",1260.33423603106
2023-12-20,"ARI incidence",2023-12-17,1,"BE","quantile","0.4",1287.79274210994
2023-12-20,"ARI incidence",2023-12-17,1,"BE","quantile","0.45",1317.21591647419
2023-12-20,"ARI incidence",2023-12-17,1,"BE","quantile","0.5",1343.13402771575
2023-12-20,"ARI incidence",2023-12-17,1,"BE","quantile","0.55",1372.58819364801
2023-12-20,"ARI incidence",2023-12-17,1,"BE","quantile","0.6",1404.38710527124
2023-12-20,"ARI incidence",2023-12-17,1,"BE","quantile","0.65",1438.33528139336
2023-12-20,"ARI incidence",2023-12-17,1,"BE","quantile","0.7",1474.02726461112
2023-12-20,"ARI incidence",2023-12-17,1,"BE","quantile","0.75",1510.25814635924
2023-12-20,"ARI incidence",2023-12-17,1,"BE","quantile","0.8",1552.42551237961
2023-12-20,"ARI incidence",2023-12-17,1,"BE","quantile","0.85",1600.93473068398
2023-12-20,"ARI incidence",2023-12-17,1,"BE","quantile","0.9",1661.80616940649
2023-12-20,"ARI incidence",2023-12-17,1,"BE","quantile","0.95",1751.34650100905
2023-12-20,"ARI incidence",2023-12-17,1,"BE","quantile","0.975",1848.51827217801
2023-12-20,"ARI incidence",2023-12-17,1,"BE","quantile","0.99",1930.15846171381
2023-12-20,"ARI incidence",2023-12-24,2,"BE","median","",1298.1607937104
2023-12-20,"ARI incidence",2023-12-24,2,"BE","quantile","0.01",695.915113823419
2023-12-20,"ARI incidence",2023-12-24,2,"BE","quantile","0.025",777.118624002876
2023-12-20,"ARI incidence",2023-12-24,2,"BE","quantile","0.05",852.234233578931
