"origin_date","target","target_end_date","horizon","location","output_type","output_type_id","value"
2024-01-03,"ILI incidence",2023-12-31,1,"AT","median","",3158.44455857376
2024-01-03,"ILI incidence",2023-12-31,1,"AT","quantile","0.01",2321.60055050088
2024-01-03,"ILI incidence",2023-12-31,1,"AT","quantile","0.025",2455.58696317561
2024-01-03,"ILI incidence",2023-12-31,1,"AT","quantile","0.05",2561.93579154754
2024-01-03,"ILI incidence",2023-12-31,1,"AT","quantile","0.1",2696.82726658802
2024-01-03,"ILI incidence",2023-12-31,1,"AT","quantile","0.15",2782.03600133505
2024-01-03,"ILI incidence",2023-12-31,1,"AT","quantile","0.2",2851.62779750206
2024-01-03,"ILI incidence",2023-12-31,1,"AT","quantile","0.25",2909.34335113668
2024-01-03,"ILI incidence",2023-12-31,1,"AT","quantile","0.3",2961.77703167688
2024-01-03,"ILI incidence",2023-12-31,1,"AT","quantile","0.35",3014.03468397752
2024-01-03,"ILI incidence",2023-12-31,1,"AT","quantile","0.4",3061.32362342225
2024-01-03,"ILI incidence",2023-12-31,1,"AT","quantile","0.45",3107.91366470555
2024-01-03,"ILI incidence",2023-12-31,1,"AT","quantile","0.5",3154.73776875493
2024-01-03,"ILI incidence",2023-12-31,1,"AT","quantile","0.55",3201.3659882218
2024-01-03,"ILI incidence",2023-12-31,1,"AT","quantile","0.6",3248.61523416873
2024-01-03,"ILI incidence",2023-12-31,1,"AT","quantile","0.65",3297.38158602013
2024-01-03,"ILI incidence",2023-12-31,1,"AT","quantile","0.7",3346.96133526548
2024-01-03,"ILI incidence",2023-12-31,1,"AT","quantile","0.75",3405.159015319
2024-01-03,"ILI incidence",2023-12-31,1,"AT","quantile","0.8",3462.83006661897
2024-01-03,"ILI incidence",2023-12-31,1,"AT","quantile","0.85",3532.39866332904
2024-01-03,"ILI incidence",2023-12-31,1,"AT","quantile","0.9",3626.31693729899
2024-01-03,"ILI incidence",2023-12-31,1,"AT","quantile","0.95",3763.03077759922
2024-01-03,"ILI incidence",2023-12-31,1,"AT","quantile","0.975",3875.66505149905
2024-01-03,"ILI incidence",2023-12-31,1,"AT","quantile","0.99",4010.20044222943
2024-01-03,"ILI incidence",2024-01-07,2,"AT","median","",3071.08847322195
2024-01-03,"ILI incidence",2024-01-07,2,"AT","quantile","0.01",1857.75047773803
2024-01-03,"ILI incidence",2024-01-07,2,"AT","quantile","0.025",2059.00029802045
2024-01-03,"ILI incidence",2024-01-07,2,"AT","quantile","0.05",2232.33964304929
2024-01-03,"ILI incidence",2024-01-07,2,"AT","quantile","0.1",2411.81218613385
2024-01-03,"ILI incidence",2024-01-07,2,"AT","quantile","0.15",2537.19085753893
2024-01-03,"ILI incidence",2024-01-07,2,"AT","quantile","0.2",2630.38573166372
2024-01-03,"ILI incidence",2024-01-07,2,"AT","quantile","0.25",2721.37163863486
2024-01-03,"ILI incidence",2024-01-07,2,"AT","quantile","0.3",2803.60246932041
2024-01-03,"ILI incidence",2024-01-07,2,"AT","quantile","0.35",2874.36043951223
2024-01-03,"ILI incidence",2024-01-07,2,"AT","quantile","0.4",2946.10360541653
2024-01-03,"ILI incidence",2024-01-07,2,"AT","quantile","0.45",3014.31627924128
2024-01-03,"ILI incidence",2024-01-07,2,"AT","quantile","0.5",3076.07987406188
2024-01-03,"ILI incidence",2024-01-07,2,"AT","quantile","0.55",3140.98962849629
2024-01-03,"ILI incidence",2024-01-07,2,"AT","quantile","0.6",3207.24792637421
2024-01-03,"ILI incidence",2024-01-07,2,"AT","quantile","0.65",3283.75399367263
2024-01-03,"ILI incidence",2024-01-07,2,"AT","quantile","0.7",3352.92801820032
2024-01-03,"ILI incidence",2024-01-07,2,"AT","quantile","0.75",3428.80840553194
2024-01-03,"ILI incidence",2024-01-07,2,"AT","quantile","0.8",3509.79106832215
2024-01-03,"ILI incidence",2024-01-07,2,"AT","quantile","0.85",3613.811551809
2024-01-03,"ILI incidence",2024-01-07,2,"AT","quantile","0.9",3745.81728414246
2024-01-03,"ILI incidence",2024-01-07,2,"AT","quantile","0.95",3933.90345188821
2024-01-03,"ILI incidence",2024-01-07,2,"AT","quantile","0.975",4083.25500642416
2024-01-03,"ILI incidence",2024-01-07,2,"AT","quantile","0.99",4259.95780348326
2024-01-03,"ILI incidence",2024-01-14,3,"AT","median","",2990.77518823625
2024-01-03,"ILI incidence",2024-01-14,3,"AT","quantile","0.01",1526.19597352995
2024-01-03,"ILI incidence",2024-01-14,3,"AT","quantile","0.025",1766.72623524478
2024-01-03,"ILI incidence",2024-01-14,3,"AT","quantile","0.05",1951.4261294514
2024-01-03,"ILI incidence",2024-01-14,3,"AT","quantile","0.1",2181.65701466606
2024-01-03,"ILI incidence",2024-01-14,3,"AT","quantile","0.15",2334.53481596243
2024-01-03,"ILI incidence",2024-01-14,3,"AT","quantile","0.2",2464.67224403812
2024-01-03,"ILI incidence",2024-01-14,3,"AT","quantile","0.25",2571.46742126161
2024-01-03,"ILI incidence",2024-01-14,3,"AT","quantile","0.3",2665.55613936717
2024-01-03,"ILI incidence",2024-01-14,3,"AT","quantile","0.35",2754.58482816152
2024-01-03,"ILI incidence",2024-01-14,3,"AT","quantile","0.4",2834.89335285694
2024-01-03,"ILI incidence",2024-01-14,3,"AT","quantile","0.45",2918.68587194162
2024-01-03,"ILI incidence",2024-01-14,3,"AT","quantile","0.5",2998.4607578938
2024-01-03,"ILI incidence",2024-01-14,3,"AT","quantile","0.55",3082.25170944481
2024-01-03,"ILI incidence",2024-01-14,3,"AT","quantile","0.6",3164.71342445161
2024-01-03,"ILI incidence",2024-01-14,3,"AT","quantile","0.65",3245.25653339155
2024-01-03,"ILI incidence",2024-01-14,3,"AT","quantile","0.7",3329.7221961738
2024-01-03,"ILI incidence",2024-01-14,3,"AT","quantile","0.75",3420.32223685616
2024-01-03,"ILI incidence",2024-01-14,3,"AT","quantile","0.8",3522.23162537577
2024-01-03,"ILI incidence",2024-01-14,3,"AT","quantile","0.85",3640.88480410063
2024-01-03,"ILI incidence",2024-01-14,3,"AT","quantile","0.9",3801.11720826915
2024-01-03,"ILI incidence",2024-01-14,3,"AT","quantile","0.95",4026.53300533709
2024-01-03,"ILI incidence",2024-01-14,3,"AT","quantile","0.975",4206.3537428871
2024-01-03,"ILI incidence",2024-01-14,3,"AT","quantile","0.99",4413.53246757152
2024-01-03,"ILI incidence",2024-01-21,4,"AT","median","",2925.11183142917
2024-01-03,"ILI incidence",2024-01-21,4,"AT","quantile","0.01",1335.2514737714
2024-01-03,"ILI incidence",2024-01-21,4,"AT","quantile","0.025",1583.7942357772
2024-01-03,"ILI incidence",2024-01-21,4,"AT","quantile","0.05",1795.24600621482
2024-01-03,"ILI incidence",2024-01-21,4,"AT","quantile","0.1",2041.72751338107
2024-01-03,"ILI incidence",2024-01-21,4,"AT","quantile","0.15",2215.19017140218
2024-01-03,"ILI incidence",2024-01-21,4,"AT","quantile","0.2",2360.68405623248
2024-01-03,"ILI incidence",2024-01-21,4,"AT","quantile","0.25",2479.8139032821
2024-01-03,"ILI incidence",2024-01-21,4,"AT","quantile","0.3",2584.79992526575
2024-01-03,"ILI incidence",2024-01-21,4,"AT","quantile","0.35",2673.5380010579
2024-01-03,"ILI incidence",2024-01-21,4,"AT","quantile","0.4",2766.30975019205
2024-01-03,"ILI incidence",2024-01-21,4,"AT","quantile","0.45",2855.96006427033
2024-01-03,"ILI incidence",2024-01-21,4,"AT","quantile","0.5",2941.1849604096
2024-01-03,"ILI incidence",2024-01-21,4,"AT","quantile","0.55",3021.53070731798
2024-01-03,"ILI incidence",2024-01-21,4,"AT","quantile","0.6",3115.84942229304
2024-01-03,"ILI incidence",2024-01-21,4,"AT","quantile","0.65",3201.74048578673
2024-01-03,"ILI incidence",2024-01-21,4,"AT","quantile","0.7",3306.34952728849
2024-01-03,"ILI incidence",2024-01-21,4,"AT","quantile","0.75",3405.88119284849
2024-01-03,"ILI incidence",2024-01-21,4,"AT","quantile","0.8",3520.72870719675
2024-01-03,"ILI incidence",2024-01-21,4,"AT","quantile","0.85",3645.88420210922
2024-01-03,"ILI incidence",2024-01-21,4,"AT","quantile","0.9",3809.45533056611
2024-01-03,"ILI incidence",2024-01-21,4,"AT","quantile","0.95",4073.98821985239
2024-01-03,"ILI incidence",2024-01-21,4,"AT","quantile","0.975",4287.99341673197
2024-01-03,"ILI incidence",2024-01-21,4,"AT","quantile","0.99",4527.50613157291
2024-01-03,"ILI incidence",2023-12-31,1,"BE","median","",274.13179183862
2024-01-03,"ILI incidence",2023-12-31,1,"BE","quantile","0.01",94.7726549092137
2024-01-03,"ILI incidence",2023-12-31,1,"BE","quantile","0.025",119.552126090341
2024-01-03,"ILI incidence",2023-12-31,1,"BE","quantile","0.05",142.746615362988
2024-01-03,"ILI incidence",2023-12-31,1,"BE","quantile","0.1",171.704803859503
2024-01-03,"ILI incidence",2023-12-31,1,"BE","quantile","0.15",191.92493462204
2024-01-03,"ILI incidence",2023-12-31,1,"BE","quantile","0.2",207.07852377784
2024-01-03,"ILI incidence",2023-12-31,1,"BE","quantile","0.25",221.299870986021
2024-01-03,"ILI incidence",2023-12-31,1,"BE","quantile","0.3",232.825651316768
2024-01-03,"ILI incidence",2023-12-31,1,"BE","quantile","0.35",243.334661011206
2024-01-03,"ILI incidence",2023-12-31,1,"BE","quantile","0.4",253.434641832431
2024-01-03,"ILI incidence",2023-12-31,1,"BE","quantile","0.45",263.667696509294
2024-01-03,"ILI incidence",2023-12-31,1,"BE","quantile","0.5",273.176852178304
2024-01-03,"ILI incidence",2023-12-31,1,"BE","quantile","0.55",283.691781026369
2024-01-03,"ILI incidence",2023-12-31,1,"BE","quantile","0.6",293.775124922515
2024-01-03,"ILI incidence",2023-12-31,1,"BE","quantile","0.65",303.785835926936
2024-01-03,"ILI incidence",2023-12-31,1,"BE","quantile","0.7",314.913701142804
2024-01-03,"ILI incidence",2023-12-31,1,"BE","quantile","0.75",325.774368574528
2024-01-03,"ILI incidence",2023-12-31,1,"BE","quantile","0.8",339.31374326389
2024-01-03,"ILI incidence",2023-12-31,1,"BE","quantile","0.85",355.629700946704
2024-01-03,"ILI incidence",2023-12-31,1,"BE","quantile","0.9",374.091479615957
2024-01-03,"ILI incidence",2023-12-31,1,"BE","quantile","0.95",403.094610496606
2024-01-03,"ILI incidence",2023-12-31,1,"BE","quantile","0.975",428.368589994991
2024-01-03,"ILI incidence",2023-12-31,1,"BE","quantile","0.99",456.711019729601
2024-01-03,"ILI incidence",2024-01-07,2,"BE","median","",274.13179183862
2024-01-03,"ILI incidence",2024-01-07,2,"BE","quantile","0.01",22.4044937055436
2024-01-03,"ILI incidence",2024-01-07,2,"BE","quantile","0.025",61.1815872157489
2024-01-03,"ILI incidence",2024-01-07,2,"BE","quantile","0.05",94.244262092152
2024-01-03,"ILI incidence",2024-01-07,2,"BE","quantile","0.1",133.130294348998
2024-01-03,"ILI incidence",2024-01-07,2,"BE","quantile","0.15",161.474849805874
2024-01-03,"ILI incidence",2024-01-07,2,"BE","quantile","0.2",182.47999769085
2024-01-03,"ILI incidence",2024-01-07,2,"BE","quantile","0.25",199.179985716001
2024-01-03,"ILI incidence",2024-01-07,2,"BE","quantile","0.3",215.983424396768
2024-01-03,"ILI incidence",2024-01-07,2,"BE","quantile","0.35",231.132909472813
2024-01-03,"ILI incidence",2024-01-07,2,"BE","quantile","0.4",246.172015521343
2024-01-03,"ILI incidence",2024-01-07,2,"BE","quantile","0.45",260.397499063381
2024-01-03,"ILI incidence",2024-01-07,2,"BE","quantile","0.5",274.764512472261
2024-01-03,"ILI incidence",2024-01-07,2,"BE","quantile","0.55",287.857490028015
2024-01-03,"ILI incidence",2024-01-07,2,"BE","quantile","0.6",300.30500352953
2024-01-03,"ILI incidence",2024-01-07,2,"BE","quantile","0.65",315.503071075766
2024-01-03,"ILI incidence",2024-01-07,2,"BE","quantile","0.7",330.2962997981
2024-01-03,"ILI incidence",2024-01-07,2,"BE","quantile","0.75",346.465065062308
2024-01-03,"ILI incidence",2024-01-07,2,"BE","quantile","0.8",364.766147201001
