origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-01-10,ILI incidence,2024-01-07,1,AT,median,,2300.28197024368
2024-01-10,ILI incidence,2024-01-07,1,AT,quantile,0.01,1418.07772715717
2024-01-10,ILI incidence,2024-01-07,1,AT,quantile,0.025,1561.21796676347
2024-01-10,ILI incidence,2024-01-07,1,AT,quantile,0.05,1678.88486102262
2024-01-10,ILI incidence,2024-01-07,1,AT,quantile,0.1,1809.76233902407
2024-01-10,ILI incidence,2024-01-07,1,AT,quantile,0.15,1902.28452272474
2024-01-10,ILI incidence,2024-01-07,1,AT,quantile,0.2,1975.50822447681
2024-01-10,ILI incidence,2024-01-07,1,AT,quantile,0.25,2041.82319315523
2024-01-10,ILI incidence,2024-01-07,1,AT,quantile,0.3,2101.97865230971
2024-01-10,ILI incidence,2024-01-07,1,AT,quantile,0.35,2153.63022895983
2024-01-10,ILI incidence,2024-01-07,1,AT,quantile,0.4,2200.80211600079
2024-01-10,ILI incidence,2024-01-07,1,AT,quantile,0.45,2249.27345587411
2024-01-10,ILI incidence,2024-01-07,1,AT,quantile,0.5,2298.90702345108
2024-01-10,ILI incidence,2024-01-07,1,AT,quantile,0.55,2345.57498447267
2024-01-10,ILI incidence,2024-01-07,1,AT,quantile,0.6,2395.24245716607
2024-01-10,ILI incidence,2024-01-07,1,AT,quantile,0.65,2447.2023563642
2024-01-10,ILI incidence,2024-01-07,1,AT,quantile,0.7,2496.11579497086
2024-01-10,ILI incidence,2024-01-07,1,AT,quantile,0.75,2552.99281845467
2024-01-10,ILI incidence,2024-01-07,1,AT,quantile,0.8,2616.13659708014
2024-01-10,ILI incidence,2024-01-07,1,AT,quantile,0.85,2691.16830328229
2024-01-10,ILI incidence,2024-01-07,1,AT,quantile,0.9,2782.19975876189
2024-01-10,ILI incidence,2024-01-07,1,AT,quantile,0.95,2916.2446467382
2024-01-10,ILI incidence,2024-01-07,1,AT,quantile,0.975,3039.42531071263
2024-01-10,ILI incidence,2024-01-07,1,AT,quantile,0.99,3177.37741365626
2024-01-10,ILI incidence,2024-01-14,2,AT,median,,2363.8983797893
2024-01-10,ILI incidence,2024-01-14,2,AT,quantile,0.01,1097.25225270517
2024-01-10,ILI incidence,2024-01-14,2,AT,quantile,0.025,1304.8741055375
2024-01-10,ILI incidence,2024-01-14,2,AT,quantile,0.05,1475.36043008393
2024-01-10,ILI incidence,2024-01-14,2,AT,quantile,0.1,1665.46041711896
2024-01-10,ILI incidence,2024-01-14,2,AT,quantile,0.15,1800.72078267765
2024-01-10,ILI incidence,2024-01-14,2,AT,quantile,0.2,1903.9753757233
2024-01-10,ILI incidence,2024-01-14,2,AT,quantile,0.25,1999.20482649646
2024-01-10,ILI incidence,2024-01-14,2,AT,quantile,0.3,2081.07201360574
2024-01-10,ILI incidence,2024-01-14,2,AT,quantile,0.35,2156.4803756483
2024-01-10,ILI incidence,2024-01-14,2,AT,quantile,0.4,2227.1737473898
2024-01-10,ILI incidence,2024-01-14,2,AT,quantile,0.45,2291.4909245446
2024-01-10,ILI incidence,2024-01-14,2,AT,quantile,0.5,2355.49485033402
2024-01-10,ILI incidence,2024-01-14,2,AT,quantile,0.55,2422.39866206379
2024-01-10,ILI incidence,2024-01-14,2,AT,quantile,0.6,2494.69946190035
2024-01-10,ILI incidence,2024-01-14,2,AT,quantile,0.65,2567.27243334774
2024-01-10,ILI incidence,2024-01-14,2,AT,quantile,0.7,2647.38199908845
2024-01-10,ILI incidence,2024-01-14,2,AT,quantile,0.75,2727.3273783357
2024-01-10,ILI incidence,2024-01-14,2,AT,quantile,0.8,2817.30675715674
2024-01-10,ILI incidence,2024-01-14,2,AT,quantile,0.85,2922.30560965037
2024-01-10,ILI incidence,2024-01-14,2,AT,quantile,0.9,3059.55021167961
2024-01-10,ILI incidence,2024-01-14,2,AT,quantile,0.95,3251.68817716812
2024-01-10,ILI incidence,2024-01-14,2,AT,quantile,0.975,3418.9705342793
2024-01-10,ILI incidence,2024-01-14,2,AT,quantile,0.99,3619.28702131042
2024-01-10,ILI incidence,2024-01-21,3,AT,median,,2421.1297847108
2024-01-10,ILI incidence,2024-01-21,3,AT,quantile,0.01,939.062741030762
2024-01-10,ILI incidence,2024-01-21,3,AT,quantile,0.025,1147.77695983335
2024-01-10,ILI incidence,2024-01-21,3,AT,quantile,0.05,1357.99528423599
2024-01-10,ILI incidence,2024-01-21,3,AT,quantile,0.1,1598.78229678013
2024-01-10,ILI incidence,2024-01-21,3,AT,quantile,0.15,1764.34988871126
2024-01-10,ILI incidence,2024-01-21,3,AT,quantile,0.2,1879.82405661311
2024-01-10,ILI incidence,2024-01-21,3,AT,quantile,0.25,1989.26499831693
2024-01-10,ILI incidence,2024-01-21,3,AT,quantile,0.3,2080.25249594635
2024-01-10,ILI incidence,2024-01-21,3,AT,quantile,0.35,2169.59536119478
2024-01-10,ILI incidence,2024-01-21,3,AT,quantile,0.4,2255.8568104115
2024-01-10,ILI incidence,2024-01-21,3,AT,quantile,0.45,2336.04402721208
2024-01-10,ILI incidence,2024-01-21,3,AT,quantile,0.5,2419.81150595885
2024-01-10,ILI incidence,2024-01-21,3,AT,quantile,0.55,2505.04415197955
2024-01-10,ILI incidence,2024-01-21,3,AT,quantile,0.6,2582.30412288748
2024-01-10,ILI incidence,2024-01-21,3,AT,quantile,0.65,2671.07493952774
2024-01-10,ILI incidence,2024-01-21,3,AT,quantile,0.7,2765.58567751787
2024-01-10,ILI incidence,2024-01-21,3,AT,quantile,0.75,2869.69702666973
2024-01-10,ILI incidence,2024-01-21,3,AT,quantile,0.8,2984.57245665501
2024-01-10,ILI incidence,2024-01-21,3,AT,quantile,0.85,3104.3123021325
2024-01-10,ILI incidence,2024-01-21,3,AT,quantile,0.9,3256.18999658299
2024-01-10,ILI incidence,2024-01-21,3,AT,quantile,0.95,3478.67103760011
2024-01-10,ILI incidence,2024-01-21,3,AT,quantile,0.975,3675.05127180069
2024-01-10,ILI incidence,2024-01-21,3,AT,quantile,0.99,3906.1901224341
2024-01-10,ILI incidence,2024-01-28,4,AT,median,,2466.76489551262
2024-01-10,ILI incidence,2024-01-28,4,AT,quantile,0.01,829.555335475034
2024-01-10,ILI incidence,2024-01-28,4,AT,quantile,0.025,1084.66976818247
2024-01-10,ILI incidence,2024-01-28,4,AT,quantile,0.05,1317.27990333787
2024-01-10,ILI incidence,2024-01-28,4,AT,quantile,0.1,1591.27091769774
2024-01-10,ILI incidence,2024-01-28,4,AT,quantile,0.15,1753.62235420956
2024-01-10,ILI incidence,2024-01-28,4,AT,quantile,0.2,1878.13885086584
