"origin_date","target","target_end_date","horizon","location","output_type","output_type_id","value"
2024-03-27,"ILI incidence",2024-03-24,1,"AT","median","",1864.42356866352
2024-03-27,"ILI incidence",2024-03-24,1,"AT","quantile","0.01",1302.62958366285
2024-03-27,"ILI incidence",2024-03-24,1,"AT","quantile","0.025",1393.49666841725
2024-03-27,"ILI incidence",2024-03-24,1,"AT","quantile","0.05",1473.59453052172
2024-03-27,"ILI incidence",2024-03-24,1,"AT","quantile","0.1",1557.00711766186
2024-03-27,"ILI incidence",2024-03-24,1,"AT","quantile","0.15",1617.27777176381
2024-03-27,"ILI incidence",2024-03-24,1,"AT","quantile","0.2",1661.25031388187
2024-03-27,"ILI incidence",2024-03-24,1,"AT","quantile","0.25",1699.51001925687
2024-03-27,"ILI incidence",2024-03-24,1,"AT","quantile","0.3",1737.48395191903
2024-03-27,"ILI incidence",2024-03-24,1,"AT","quantile","0.35",1773.13210697342
2024-03-27,"ILI incidence",2024-03-24,1,"AT","quantile","0.4",1803.1352342138
2024-03-27,"ILI incidence",2024-03-24,1,"AT","quantile","0.45",1833.09555974074
2024-03-27,"ILI incidence",2024-03-24,1,"AT","quantile","0.5",1863.59634316166
2024-03-27,"ILI incidence",2024-03-24,1,"AT","quantile","0.55",1893.20115352158
2024-03-27,"ILI incidence",2024-03-24,1,"AT","quantile","0.6",1924.53908763388
2024-03-27,"ILI incidence",2024-03-24,1,"AT","quantile","0.65",1956.02468800573
2024-03-27,"ILI incidence",2024-03-24,1,"AT","quantile","0.7",1990.21729085216
2024-03-27,"ILI incidence",2024-03-24,1,"AT","quantile","0.75",2027.39254237028
2024-03-27,"ILI incidence",2024-03-24,1,"AT","quantile","0.8",2065.83844519371
2024-03-27,"ILI incidence",2024-03-24,1,"AT","quantile","0.85",2112.38497871337
2024-03-27,"ILI incidence",2024-03-24,1,"AT","quantile","0.9",2169.95074437975
2024-03-27,"ILI incidence",2024-03-24,1,"AT","quantile","0.95",2255.00893860823
2024-03-27,"ILI incidence",2024-03-24,1,"AT","quantile","0.975",2337.43540297068
2024-03-27,"ILI incidence",2024-03-24,1,"AT","quantile","0.99",2430.61803977031
2024-03-27,"ILI incidence",2024-03-31,2,"AT","median","",1848.46634065259
2024-03-27,"ILI incidence",2024-03-31,2,"AT","quantile","0.01",1035.92708018387
2024-03-27,"ILI incidence",2024-03-31,2,"AT","quantile","0.025",1182.61142416811
2024-03-27,"ILI incidence",2024-03-31,2,"AT","quantile","0.05",1292.16772429957
2024-03-27,"ILI incidence",2024-03-31,2,"AT","quantile","0.1",1412.19919514719
2024-03-27,"ILI incidence",2024-03-31,2,"AT","quantile","0.15",1496.71807323204
2024-03-27,"ILI incidence",2024-03-31,2,"AT","quantile","0.2",1559.87760335838
2024-03-27,"ILI incidence",2024-03-31,2,"AT","quantile","0.25",1613.36571345271
2024-03-27,"ILI incidence",2024-03-31,2,"AT","quantile","0.3",1664.06024439423
2024-03-27,"ILI incidence",2024-03-31,2,"AT","quantile","0.35",1707.92450938031
2024-03-27,"ILI incidence",2024-03-31,2,"AT","quantile","0.4",1756.85084826454
2024-03-27,"ILI incidence",2024-03-31,2,"AT","quantile","0.45",1802.17793177407
2024-03-27,"ILI incidence",2024-03-31,2,"AT","quantile","0.5",1848.75749581917
2024-03-27,"ILI incidence",2024-03-31,2,"AT","quantile","0.55",1894.05984907569
2024-03-27,"ILI incidence",2024-03-31,2,"AT","quantile","0.6",1936.45172809346
2024-03-27,"ILI incidence",2024-03-31,2,"AT","quantile","0.65",1982.69264494136
2024-03-27,"ILI incidence",2024-03-31,2,"AT","quantile","0.7",2028.87245823186
2024-03-27,"ILI incidence",2024-03-31,2,"AT","quantile","0.75",2077.98892565973
2024-03-27,"ILI incidence",2024-03-31,2,"AT","quantile","0.8",2132.24101820139
2024-03-27,"ILI incidence",2024-03-31,2,"AT","quantile","0.85",2199.01501623562
2024-03-27,"ILI incidence",2024-03-31,2,"AT","quantile","0.9",2279.59098242681
2024-03-27,"ILI incidence",2024-03-31,2,"AT","quantile","0.95",2406.53862795971
2024-03-27,"ILI incidence",2024-03-31,2,"AT","quantile","0.975",2517.61294097097
2024-03-27,"ILI incidence",2024-03-31,2,"AT","quantile","0.99",2636.1476071528
2024-03-27,"ILI incidence",2024-04-07,3,"AT","median","",1887.14722294813
2024-03-27,"ILI incidence",2024-04-07,3,"AT","quantile","0.01",906.215435454685
2024-03-27,"ILI incidence",2024-04-07,3,"AT","quantile","0.025",1078.63147416599
2024-03-27,"ILI incidence",2024-04-07,3,"AT","quantile","0.05",1210.2376409613
2024-03-27,"ILI incidence",2024-04-07,3,"AT","quantile","0.1",1352.57405550778
2024-03-27,"ILI incidence",2024-04-07,3,"AT","quantile","0.15",1450.8953581825
2024-03-27,"ILI incidence",2024-04-07,3,"AT","quantile","0.2",1539.01043148744
2024-03-27,"ILI incidence",2024-04-07,3,"AT","quantile","0.25",1608.73120441902
2024-03-27,"ILI incidence",2024-04-07,3,"AT","quantile","0.3",1671.24508251961
2024-03-27,"ILI incidence",2024-04-07,3,"AT","quantile","0.35",1723.80186473163
2024-03-27,"ILI incidence",2024-04-07,3,"AT","quantile","0.4",1779.46331950129
2024-03-27,"ILI incidence",2024-04-07,3,"AT","quantile","0.45",1829.52764104576
2024-03-27,"ILI incidence",2024-04-07,3,"AT","quantile","0.5",1883.07084272537
2024-03-27,"ILI incidence",2024-04-07,3,"AT","quantile","0.55",1933.52909922348
2024-03-27,"ILI incidence",2024-04-07,3,"AT","quantile","0.6",1991.11627225889
2024-03-27,"ILI incidence",2024-04-07,3,"AT","quantile","0.65",2047.32105814454
2024-03-27,"ILI incidence",2024-04-07,3,"AT","quantile","0.7",2109.94274090119
2024-03-27,"ILI incidence",2024-04-07,3,"AT","quantile","0.75",2172.84355354657
2024-03-27,"ILI incidence",2024-04-07,3,"AT","quantile","0.8",2241.78236212992
2024-03-27,"ILI incidence",2024-04-07,3,"AT","quantile","0.85",2319.6802318353
2024-03-27,"ILI incidence",2024-04-07,3,"AT","quantile","0.9",2428.90303936324
2024-03-27,"ILI incidence",2024-04-07,3,"AT","quantile","0.95",2572.62582701738
2024-03-27,"ILI incidence",2024-04-07,3,"AT","quantile","0.975",2712.33893876372
2024-03-27,"ILI incidence",2024-04-07,3,"AT","quantile","0.99",2860.42131061097
2024-03-27,"ILI incidence",2024-04-14,4,"AT","median","",1915.9809225498
2024-03-27,"ILI incidence",2024-04-14,4,"AT","quantile","0.01",809.673484207284
2024-03-27,"ILI incidence",2024-04-14,4,"AT","quantile","0.025",985.359352548015
2024-03-27,"ILI incidence",2024-04-14,4,"AT","quantile","0.05",1133.35310263654
2024-03-27,"ILI incidence",2024-04-14,4,"AT","quantile","0.1",1299.47361595789
2024-03-27,"ILI incidence",2024-04-14,4,"AT","quantile","0.15",1414.5164998124
2024-03-27,"ILI incidence",2024-04-14,4,"AT","quantile","0.2",1508.58680740846
2024-03-27,"ILI incidence",2024-04-14,4,"AT","quantile","0.25",1586.0572294479
2024-03-27,"ILI incidence",2024-04-14,4,"AT","quantile","0.3",1656.81263630684
2024-03-27,"ILI incidence",2024-04-14,4,"AT","quantile","0.35",1728.62510827244
2024-03-27,"ILI incidence",2024-04-14,4,"AT","quantile","0.4",1789.10848744387
2024-03-27,"ILI incidence",2024-04-14,4,"AT","quantile","0.45",1848.7628026388
2024-03-27,"ILI incidence",2024-04-14,4,"AT","quantile","0.5",1913.65885555128
2024-03-27,"ILI incidence",2024-04-14,4,"AT","quantile","0.55",1975.60228993822
2024-03-27,"ILI incidence",2024-04-14,4,"AT","quantile","0.6",2035.15741743287
2024-03-27,"ILI incidence",2024-04-14,4,"AT","quantile","0.65",2096.76553480592
2024-03-27,"ILI incidence",2024-04-14,4,"AT","quantile","0.7",2163.8413568524
2024-03-27,"ILI incidence",2024-04-14,4,"AT","quantile","0.75",2237.26989844943
2024-03-27,"ILI incidence",2024-04-14,4,"AT","quantile","0.8",2319.3343059489
2024-03-27,"ILI incidence",2024-04-14,4,"AT","quantile","0.85",2415.16376441924
2024-03-27,"ILI incidence",2024-04-14,4,"AT","quantile","0.9",2540.09398736289
2024-03-27,"ILI incidence",2024-04-14,4,"AT","quantile","0.95",2701.85006488098
2024-03-27,"ILI incidence",2024-04-14,4,"AT","quantile","0.975",2845.48493581449
2024-03-27,"ILI incidence",2024-04-14,4,"AT","quantile","0.99",3013.46238662581
2024-03-27,"ILI incidence",2024-03-24,1,"CH","median","",85.2091584736917
2024-03-27,"ILI incidence",2024-03-24,1,"CH","quantile","0.01",75.7763952627157
2024-03-27,"ILI incidence",2024-03-24,1,"CH","quantile","0.025",77.217799862901
2024-03-27,"ILI incidence",2024-03-24,1,"CH","quantile","0.05",78.4244882325735
2024-03-27,"ILI incidence",2024-03-24,1,"CH","quantile","0.1",80.0181115545446
2024-03-27,"ILI incidence",2024-03-24,1,"CH","quantile","0.15",80.9620934209952
2024-03-27,"ILI incidence",2024-03-24,1,"CH","quantile","0.2",81.7928266392733
2024-03-27,"ILI incidence",2024-03-24,1,"CH","quantile","0.25",82.4845680363457
2024-03-27,"ILI incidence",2024-03-24,1,"CH","quantile","0.3",83.0614554603295
2024-03-27,"ILI incidence",2024-03-24,1,"CH","quantile","0.35",83.6629558955872
2024-03-27,"ILI incidence",2024-03-24,1,"CH","quantile","0.4",84.1970079043168
2024-03-27,"ILI incidence",2024-03-24,1,"CH","quantile","0.45",84.6890028823289
2024-03-27,"ILI incidence",2024-03-24,1,"CH","quantile","0.5",85.1879724658611
2024-03-27,"ILI incidence",2024-03-24,1,"CH","quantile","0.55",85.6967212716447
2024-03-27,"ILI incidence",2024-03-24,1,"CH","quantile","0.6",86.2085122605498
2024-03-27,"ILI incidence",2024-03-24,1,"CH","quantile","0.65",86.742661184374
2024-03-27,"ILI incidence",2024-03-24,1,"CH","quantile","0.7",87.3572551734417
2024-03-27,"ILI incidence",2024-03-24,1,"CH","quantile","0.75",88.015881872708
2024-03-27,"ILI incidence",2024-03-24,1,"CH","quantile","0.8",88.7449286855071
2024-03-27,"ILI incidence",2024-03-24,1,"CH","quantile","0.85",89.5551528482378
2024-03-27,"ILI incidence",2024-03-24,1,"CH","quantile","0.9",90.5386936649538
2024-03-27,"ILI incidence",2024-03-24,1,"CH","quantile","0.95",91.9763670586074
2024-03-27,"ILI incidence",2024-03-24,1,"CH","quantile","0.975",93.3816736438764
2024-03-27,"ILI incidence",2024-03-24,1,"CH","quantile","0.99",94.7825173400971
2024-03-27,"ILI incidence",2024-03-31,2,"CH","median","",71.3414307675637
2024-03-27,"ILI incidence",2024-03-31,2,"CH","quantile","0.01",58.5989878949921
2024-03-27,"ILI incidence",2024-03-31,2,"CH","quantile","0.025",60.6836367287577
2024-03-27,"ILI incidence",2024-03-31,2,"CH","quantile","0.05",62.4552033074127
2024-03-27,"ILI incidence",2024-03-31,2,"CH","quantile","0.1",64.4396304192051
2024-03-27,"ILI incidence",2024-03-31,2,"CH","quantile","0.15",65.8156654064351
2024-03-27,"ILI incidence",2024-03-31,2,"CH","quantile","0.2",66.8236527905481
2024-03-27,"ILI incidence",2024-03-31,2,"CH","quantile","0.25",67.6956059221909
2024-03-27,"ILI incidence",2024-03-31,2,"CH","quantile","0.3",68.4995528602607
2024-03-27,"ILI incidence",2024-03-31,2,"CH","quantile","0.35",69.2623910716078
2024-03-27,"ILI incidence",2024-03-31,2,"CH","quantile","0.4",69.9527837036942
2024-03-27,"ILI incidence",2024-03-31,2,"CH","quantile","0.45",70.6638681568105
2024-03-27,"ILI incidence",2024-03-31,2,"CH","quantile","0.5",71.3325517514481
2024-03-27,"ILI incidence",2024-03-31,2,"CH","quantile","0.55",72.0190610051364
2024-03-27,"ILI incidence",2024-03-31,2,"CH","quantile","0.6",72.7469925910065
2024-03-27,"ILI incidence",2024-03-31,2,"CH","quantile","0.65",73.4427354525955
2024-03-27,"ILI incidence",2024-03-31,2,"CH","quantile","0.7",74.1475223963681
2024-03-27,"ILI incidence",2024-03-31,2,"CH","quantile","0.75",74.9211746775441
2024-03-27,"ILI incidence",2024-03-31,2,"CH","quantile","0.8",75.8633458922768
2024-03-27,"ILI incidence",2024-03-31,2,"CH","quantile","0.85",76.8574562003075
