origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-04-17,ILI incidence,2024-04-14,1,AT,median,,1134.4905494994239
2024-04-17,ILI incidence,2024-04-21,2,AT,median,,889.6051178768138
2024-04-17,ILI incidence,2024-04-28,3,AT,median,,696.3582356053525
2024-04-17,ILI incidence,2024-05-05,4,AT,median,,544.7711446324879
2024-04-17,ILI incidence,2024-04-14,1,AT,quantile,0.01,62.79976753041454
2024-04-17,ILI incidence,2024-04-14,1,AT,quantile,0.025,216.36317373294366
2024-04-17,ILI incidence,2024-04-14,1,AT,quantile,0.05,393.08854007654287
2024-04-17,ILI incidence,2024-04-14,1,AT,quantile,0.1,558.4541087702127
2024-04-17,ILI incidence,2024-04-14,1,AT,quantile,0.15,672.7144493031541
2024-04-17,ILI incidence,2024-04-14,1,AT,quantile,0.2,774.7094786502403
2024-04-17,ILI incidence,2024-04-14,1,AT,quantile,0.25,843.9130356852764
2024-04-17,ILI incidence,2024-04-14,1,AT,quantile,0.3,904.038319609378
2024-04-17,ILI incidence,2024-04-14,1,AT,quantile,0.35,972.594306739471
2024-04-17,ILI incidence,2024-04-14,1,AT,quantile,0.4,1032.2161625033336
2024-04-17,ILI incidence,2024-04-14,1,AT,quantile,0.45,1082.4045417980958
2024-04-17,ILI incidence,2024-04-14,1,AT,quantile,0.5,1134.4905494994239
2024-04-17,ILI incidence,2024-04-14,1,AT,quantile,0.55,1184.0616018502292
2024-04-17,ILI incidence,2024-04-14,1,AT,quantile,0.6,1230.739564575712
2024-04-17,ILI incidence,2024-04-14,1,AT,quantile,0.65,1277.6377758236438
2024-04-17,ILI incidence,2024-04-14,1,AT,quantile,0.7,1332.071891987303
2024-04-17,ILI incidence,2024-04-14,1,AT,quantile,0.75,1399.1250165334486
2024-04-17,ILI incidence,2024-04-14,1,AT,quantile,0.8,1473.2828872052003
2024-04-17,ILI incidence,2024-04-14,1,AT,quantile,0.85,1553.3044070404808
2024-04-17,ILI incidence,2024-04-14,1,AT,quantile,0.9,1699.7981952313671
2024-04-17,ILI incidence,2024-04-14,1,AT,quantile,0.95,1932.2088254949604
2024-04-17,ILI incidence,2024-04-14,1,AT,quantile,0.975,2128.543350745163
2024-04-17,ILI incidence,2024-04-14,1,AT,quantile,0.99,2503.261918726248
2024-04-17,ILI incidence,2024-04-21,2,AT,quantile,0.01,54.31279463635329
2024-04-17,ILI incidence,2024-04-21,2,AT,quantile,0.025,130.8226177615524
2024-04-17,ILI incidence,2024-04-21,2,AT,quantile,0.05,199.8551251408623
2024-04-17,ILI incidence,2024-04-21,2,AT,quantile,0.1,348.8960061638259
2024-04-17,ILI incidence,2024-04-21,2,AT,quantile,0.15,457.91823128715646
2024-04-17,ILI incidence,2024-04-21,2,AT,quantile,0.2,537.1578195782688
2024-04-17,ILI incidence,2024-04-21,2,AT,quantile,0.25,605.4050508741967
2024-04-17,ILI incidence,2024-04-21,2,AT,quantile,0.3,670.4779973107064
2024-04-17,ILI incidence,2024-04-21,2,AT,quantile,0.35,730.5419435717856
2024-04-17,ILI incidence,2024-04-21,2,AT,quantile,0.4,786.8651628941336
2024-04-17,ILI incidence,2024-04-21,2,AT,quantile,0.45,838.9866060081737
2024-04-17,ILI incidence,2024-04-21,2,AT,quantile,0.5,889.6051178768138
2024-04-17,ILI incidence,2024-04-21,2,AT,quantile,0.55,948.5783902749604
2024-04-17,ILI incidence,2024-04-21,2,AT,quantile,0.6,1013.3140511813265
2024-04-17,ILI incidence,2024-04-21,2,AT,quantile,0.65,1077.673731757542
2024-04-17,ILI incidence,2024-04-21,2,AT,quantile,0.7,1148.84591999172
2024-04-17,ILI incidence,2024-04-21,2,AT,quantile,0.75,1224.4014368576902
2024-04-17,ILI incidence,2024-04-21,2,AT,quantile,0.8,1305.8654620525003
2024-04-17,ILI incidence,2024-04-21,2,AT,quantile,0.85,1433.8996128625683
2024-04-17,ILI incidence,2024-04-21,2,AT,quantile,0.9,1568.0378310087433
2024-04-17,ILI incidence,2024-04-21,2,AT,quantile,0.95,1796.6975827423507
2024-04-17,ILI incidence,2024-04-21,2,AT,quantile,0.975,2030.6650708134084
2024-04-17,ILI incidence,2024-04-21,2,AT,quantile,0.99,2382.5343833115594
2024-04-17,ILI incidence,2024-04-28,3,AT,quantile,0.01,5.878589067920451
2024-04-17,ILI incidence,2024-04-28,3,AT,quantile,0.025,23.915933730875697
2024-04-17,ILI incidence,2024-04-28,3,AT,quantile,0.05,76.13893987327873
2024-04-17,ILI incidence,2024-04-28,3,AT,quantile,0.1,162.28023109543057
2024-04-17,ILI incidence,2024-04-28,3,AT,quantile,0.15,235.30212792049545
2024-04-17,ILI incidence,2024-04-28,3,AT,quantile,0.2,309.7320273765421
2024-04-17,ILI incidence,2024-04-28,3,AT,quantile,0.25,386.18913550972616
2024-04-17,ILI incidence,2024-04-28,3,AT,quantile,0.3,472.1891932379915
2024-04-17,ILI incidence,2024-04-28,3,AT,quantile,0.35,530.2363231409663
2024-04-17,ILI incidence,2024-04-28,3,AT,quantile,0.4,593.0774605951856
2024-04-17,ILI incidence,2024-04-28,3,AT,quantile,0.45,646.3824786602465
2024-04-17,ILI incidence,2024-04-28,3,AT,quantile,0.5,696.3582356053525
2024-04-17,ILI incidence,2024-04-28,3,AT,quantile,0.55,766.0892770917683
2024-04-17,ILI incidence,2024-04-28,3,AT,quantile,0.6,833.6051807920821
2024-04-17,ILI incidence,2024-04-28,3,AT,quantile,0.65,902.2906332843646
2024-04-17,ILI incidence,2024-04-28,3,AT,quantile,0.7,967.4166312307462
