origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-03-06,ILI incidence,2024-03-03,1,AT,median,,2132.83728979889
2024-03-06,ILI incidence,2024-03-10,2,AT,median,,2078.9548063206366
2024-03-06,ILI incidence,2024-03-17,3,AT,median,,2062.464079013431
2024-03-06,ILI incidence,2024-03-24,4,AT,median,,2037.231330955804
2024-03-06,ILI incidence,2024-03-03,1,AT,quantile,0.01,787.5266297664657
2024-03-06,ILI incidence,2024-03-03,1,AT,quantile,0.025,989.3048155260657
2024-03-06,ILI incidence,2024-03-03,1,AT,quantile,0.05,1205.3806191829303
2024-03-06,ILI incidence,2024-03-03,1,AT,quantile,0.1,1425.2804269892042
2024-03-06,ILI incidence,2024-03-03,1,AT,quantile,0.15,1568.0496556613712
2024-03-06,ILI incidence,2024-03-03,1,AT,quantile,0.2,1669.7902869105146
2024-03-06,ILI incidence,2024-03-03,1,AT,quantile,0.25,1763.2946308279304
2024-03-06,ILI incidence,2024-03-03,1,AT,quantile,0.3,1833.5375464866493
2024-03-06,ILI incidence,2024-03-03,1,AT,quantile,0.35,1908.5411987483376
2024-03-06,ILI incidence,2024-03-03,1,AT,quantile,0.4,1992.9859521182307
2024-03-06,ILI incidence,2024-03-03,1,AT,quantile,0.45,2058.549164331162
2024-03-06,ILI incidence,2024-03-03,1,AT,quantile,0.5,2132.83728979889
2024-03-06,ILI incidence,2024-03-03,1,AT,quantile,0.55,2194.368825434319
2024-03-06,ILI incidence,2024-03-03,1,AT,quantile,0.6,2256.6853426331177
2024-03-06,ILI incidence,2024-03-03,1,AT,quantile,0.65,2350.051441111512
2024-03-06,ILI incidence,2024-03-03,1,AT,quantile,0.7,2433.006840678293
2024-03-06,ILI incidence,2024-03-03,1,AT,quantile,0.75,2516.1214975777707
2024-03-06,ILI incidence,2024-03-03,1,AT,quantile,0.8,2611.8460923794582
2024-03-06,ILI incidence,2024-03-03,1,AT,quantile,0.85,2735.244124787835
2024-03-06,ILI incidence,2024-03-03,1,AT,quantile,0.9,2906.7211387807406
2024-03-06,ILI incidence,2024-03-03,1,AT,quantile,0.95,3284.557828412697
2024-03-06,ILI incidence,2024-03-03,1,AT,quantile,0.975,3694.4871536758583
2024-03-06,ILI incidence,2024-03-03,1,AT,quantile,0.99,4171.121238420179
2024-03-06,ILI incidence,2024-03-10,2,AT,quantile,0.01,503.8478610816911
2024-03-06,ILI incidence,2024-03-10,2,AT,quantile,0.025,738.6463149287836
2024-03-06,ILI incidence,2024-03-10,2,AT,quantile,0.05,975.6736723097381
2024-03-06,ILI incidence,2024-03-10,2,AT,quantile,0.1,1191.3218809507184
2024-03-06,ILI incidence,2024-03-10,2,AT,quantile,0.15,1357.3603681765846
2024-03-06,ILI incidence,2024-03-10,2,AT,quantile,0.2,1505.901842197353
2024-03-06,ILI incidence,2024-03-10,2,AT,quantile,0.25,1639.2666269088534
2024-03-06,ILI incidence,2024-03-10,2,AT,quantile,0.3,1748.4639934342986
2024-03-06,ILI incidence,2024-03-10,2,AT,quantile,0.35,1824.9209739044138
2024-03-06,ILI incidence,2024-03-10,2,AT,quantile,0.4,1905.2166836696708
2024-03-06,ILI incidence,2024-03-10,2,AT,quantile,0.45,1988.0634284749817
2024-03-06,ILI incidence,2024-03-10,2,AT,quantile,0.5,2078.9548063206366
2024-03-06,ILI incidence,2024-03-10,2,AT,quantile,0.55,2166.2562447729147
2024-03-06,ILI incidence,2024-03-10,2,AT,quantile,0.6,2271.6091168405974
2024-03-06,ILI incidence,2024-03-10,2,AT,quantile,0.65,2353.949078175278
2024-03-06,ILI incidence,2024-03-10,2,AT,quantile,0.7,2446.1308116173623
2024-03-06,ILI incidence,2024-03-10,2,AT,quantile,0.75,2579.059271391889
2024-03-06,ILI incidence,2024-03-10,2,AT,quantile,0.8,2696.786977832749
2024-03-06,ILI incidence,2024-03-10,2,AT,quantile,0.85,2902.7053388015593
2024-03-06,ILI incidence,2024-03-10,2,AT,quantile,0.9,3135.9427722515347
2024-03-06,ILI incidence,2024-03-10,2,AT,quantile,0.95,3658.7556882138997
2024-03-06,ILI incidence,2024-03-10,2,AT,quantile,0.975,4104.816738708973
2024-03-06,ILI incidence,2024-03-10,2,AT,quantile,0.99,4569.203553594739
2024-03-06,ILI incidence,2024-03-17,3,AT,quantile,0.01,295.29257039085434
2024-03-06,ILI incidence,2024-03-17,3,AT,quantile,0.025,473.01037670356345
2024-03-06,ILI incidence,2024-03-17,3,AT,quantile,0.05,714.3302294322299
2024-03-06,ILI incidence,2024-03-17,3,AT,quantile,0.1,1004.2561534716375
2024-03-06,ILI incidence,2024-03-17,3,AT,quantile,0.15,1167.5784790688576
2024-03-06,ILI incidence,2024-03-17,3,AT,quantile,0.2,1350.2474252654183
2024-03-06,ILI incidence,2024-03-17,3,AT,quantile,0.25,1493.128525021452
2024-03-06,ILI incidence,2024-03-17,3,AT,quantile,0.3,1618.0759058720112
2024-03-06,ILI incidence,2024-03-17,3,AT,quantile,0.35,1745.529659553575
2024-03-06,ILI incidence,2024-03-17,3,AT,quantile,0.4,1846.2399680631993
2024-03-06,ILI incidence,2024-03-17,3,AT,quantile,0.45,1958.1906134792102
2024-03-06,ILI incidence,2024-03-17,3,AT,quantile,0.5,2062.464079013431
2024-03-06,ILI incidence,2024-03-17,3,AT,quantile,0.55,2170.151467038076
2024-03-06,ILI incidence,2024-03-17,3,AT,quantile,0.6,2284.397931245616
2024-03-06,ILI incidence,2024-03-17,3,AT,quantile,0.65,2409.1251602845155
2024-03-06,ILI incidence,2024-03-17,3,AT,quantile,0.7,2552.60717081642
2024-03-06,ILI incidence,2024-03-17,3,AT,quantile,0.75,2753.9714642365557
2024-03-06,ILI incidence,2024-03-17,3,AT,quantile,0.8,2931.1073327792183
2024-03-06,ILI incidence,2024-03-17,3,AT,quantile,0.85,3170.9743826341146
2024-03-06,ILI incidence,2024-03-17,3,AT,quantile,0.9,3493.083984792229
2024-03-06,ILI incidence,2024-03-17,3,AT,quantile,0.95,4028.8337122204866
2024-03-06,ILI incidence,2024-03-17,3,AT,quantile,0.975,4721.61857512074
2024-03-06,ILI incidence,2024-03-17,3,AT,quantile,0.99,5894.546887801129
2024-03-06,ILI incidence,2024-03-24,4,AT,quantile,0.01,230.34992313549003
2024-03-06,ILI incidence,2024-03-24,4,AT,quantile,0.025,336.90217181571484
2024-03-06,ILI incidence,2024-03-24,4,AT,quantile,0.05,544.0943591071057
2024-03-06,ILI incidence,2024-03-24,4,AT,quantile,0.1,806.3147278747028
2024-03-06,ILI incidence,2024-03-24,4,AT,quantile,0.15,1021.830605287437
2024-03-06,ILI incidence,2024-03-24,4,AT,quantile,0.2,1206.0607320487406
2024-03-06,ILI incidence,2024-03-24,4,AT,quantile,0.25,1342.2500424022264
2024-03-06,ILI incidence,2024-03-24,4,AT,quantile,0.3,1509.2541507337341
2024-03-06,ILI incidence,2024-03-24,4,AT,quantile,0.35,1669.28721736478
2024-03-06,ILI incidence,2024-03-24,4,AT,quantile,0.4,1784.994966407233
2024-03-06,ILI incidence,2024-03-24,4,AT,quantile,0.45,1913.788469826112
2024-03-06,ILI incidence,2024-03-24,4,AT,quantile,0.5,2037.231330955804
2024-03-06,ILI incidence,2024-03-24,4,AT,quantile,0.55,2156.600226229022
2024-03-06,ILI incidence,2024-03-24,4,AT,quantile,0.6,2304.627984373091
2024-03-06,ILI incidence,2024-03-24,4,AT,quantile,0.65,2468.535236336451
2024-03-06,ILI incidence,2024-03-24,4,AT,quantile,0.7,2664.1064600173
2024-03-06,ILI incidence,2024-03-24,4,AT,quantile,0.75,2869.3116624234312
2024-03-06,ILI incidence,2024-03-24,4,AT,quantile,0.8,3053.6979719939964
2024-03-06,ILI incidence,2024-03-24,4,AT,quantile,0.85,3342.964849108645
2024-03-06,ILI incidence,2024-03-24,4,AT,quantile,0.9,3835.2151915642553
2024-03-06,ILI incidence,2024-03-24,4,AT,quantile,0.95,4739.9268567017425
2024-03-06,ILI incidence,2024-03-24,4,AT,quantile,0.975,5746.7899260382055
2024-03-06,ILI incidence,2024-03-24,4,AT,quantile,0.99,7413.896638859344
2024-03-06,ILI incidence,2024-03-03,1,HR,median,,31.90290941028237
2024-03-06,ILI incidence,2024-03-10,2,HR,median,,31.08648834022698
2024-03-06,ILI incidence,2024-03-17,3,HR,median,,31.17950130520846
2024-03-06,ILI incidence,2024-03-24,4,HR,median,,30.326215188104207
2024-03-06,ILI incidence,2024-03-03,1,HR,quantile,0.01,9.030447669998285
2024-03-06,ILI incidence,2024-03-03,1,HR,quantile,0.025,12.74944841417339
2024-03-06,ILI incidence,2024-03-03,1,HR,quantile,0.05,15.461475467814733
2024-03-06,ILI incidence,2024-03-03,1,HR,quantile,0.1,18.462561156657753
