origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-03-27,ILI incidence,2024-04-14,4,AT,quantile,0.55,1846.4726732635113
2024-03-27,ILI incidence,2024-03-24,1,AT,quantile,0.35,1804.2019369906923
2024-03-27,ILI incidence,2024-04-14,4,AT,quantile,0.6,1921.365503572161
2024-03-27,ILI incidence,2024-03-24,1,AT,quantile,0.3,1763.1519565083408
2024-03-27,ILI incidence,2024-03-24,1,AT,quantile,0.4,1844.7642729169552
2024-03-27,ILI incidence,2024-04-14,4,AT,quantile,0.35,1580.3828725201543
2024-03-27,ILI incidence,2024-04-14,4,AT,quantile,0.5,1775.9667418510862
2024-03-27,ILI incidence,2024-03-24,1,AT,quantile,0.45,1883.2992093069781
2024-03-27,ILI incidence,2024-03-24,1,AT,quantile,0.15,1622.9760442352992
2024-03-27,ILI incidence,2024-03-24,1,AT,quantile,0.2,1672.939088824369
2024-03-27,ILI incidence,2024-03-24,1,AT,quantile,0.25,1720.009966954116
2024-03-27,ILI incidence,2024-04-14,4,AT,quantile,0.65,2005.6284411656843
2024-03-27,ILI incidence,2024-04-14,4,AT,quantile,0.45,1709.5049844543614
2024-03-27,ILI incidence,2024-03-24,1,AT,quantile,0.5,1922.3337631277682
2024-03-27,ILI incidence,2024-04-14,4,AT,quantile,0.01,873.3265924801473
2024-03-27,ILI incidence,2024-04-14,4,AT,quantile,0.4,1644.9489205222103
2024-03-27,ILI incidence,2024-03-24,1,AT,quantile,0.01,1312.9172428915033
2024-03-27,ILI incidence,2024-03-24,1,AT,quantile,0.1,1556.6369817739576
2024-03-27,ILI incidence,2024-03-24,1,AT,quantile,0.025,1390.3553629442472
2024-03-27,ILI incidence,2024-03-24,1,AT,quantile,0.05,1464.952377202688
2024-03-27,ILI incidence,2024-03-24,1,AT,quantile,0.55,1961.931877729838
2024-03-27,ILI incidence,2024-04-14,4,AT,quantile,0.75,2201.948503896011
2024-03-27,ILI incidence,2024-04-07,3,AT,quantile,0.65,1941.6712468478459
2024-03-27,ILI incidence,2024-04-07,3,AT,quantile,0.6,1910.9882661638776
2024-03-27,ILI incidence,2024-04-07,3,AT,quantile,0.55,1885.18683509012
2024-03-27,ILI incidence,2024-03-24,1,AT,quantile,0.6,2004.9501307913138
2024-03-27,ILI incidence,2024-04-14,4,AT,quantile,0.05,1060.2964928910587
2024-03-27,ILI incidence,2024-04-14,4,AT,quantile,0.3,1512.1019663590878
2024-03-27,ILI incidence,2024-04-07,3,AT,quantile,0.5,1858.0954401541069
2024-03-27,ILI incidence,2024-04-07,3,AT,quantile,0.7,1974.0627322299172
2024-03-27,ILI incidence,2024-04-14,4,AT,quantile,0.025,973.7413381946462
2024-03-27,ILI incidence,2024-04-14,4,AT,quantile,0.7,2100.8315169470543
2024-03-27,ILI incidence,2024-04-14,4,AT,quantile,0.15,1293.0172233320855
2024-03-27,ILI incidence,2024-04-07,3,AT,quantile,0.4,1805.8647115701729
2024-03-27,ILI incidence,2024-04-14,4,AT,quantile,0.1,1196.1307426188698
2024-03-27,ILI incidence,2024-04-14,4,AT,quantile,0.2,1373.6712072426963
