origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-03-13,ILI incidence,2024-03-10,1,AT,quantile,0.01,1863.4666282020864
2024-03-13,ILI incidence,2024-03-17,2,AT,quantile,0.01,1493.0619945644376
2024-03-13,ILI incidence,2024-03-24,3,AT,quantile,0.01,1226.538821851141
2024-03-13,ILI incidence,2024-03-31,4,AT,quantile,0.01,1030.8131102988066
2024-03-13,ILI incidence,2024-03-10,1,AT,quantile,0.025,1924.5846263208537
2024-03-13,ILI incidence,2024-03-17,2,AT,quantile,0.025,1602.979791185407
2024-03-13,ILI incidence,2024-03-24,3,AT,quantile,0.025,1367.3788037971644
2024-03-13,ILI incidence,2024-03-31,4,AT,quantile,0.025,1196.1309833807795
2024-03-13,ILI incidence,2024-03-10,1,AT,quantile,0.05,1974.670791493619
2024-03-13,ILI incidence,2024-03-17,2,AT,quantile,0.05,1691.0959083629853
2024-03-13,ILI incidence,2024-03-24,3,AT,quantile,0.05,1479.954168799484
2024-03-13,ILI incidence,2024-03-31,4,AT,quantile,0.05,1330.9771242251445
2024-03-13,ILI incidence,2024-03-10,1,AT,quantile,0.1,2023.5702019054888
2024-03-13,ILI incidence,2024-03-17,2,AT,quantile,0.1,1779.3903868000816
2024-03-13,ILI incidence,2024-03-24,3,AT,quantile,0.1,1597.675784798969
2024-03-13,ILI incidence,2024-03-31,4,AT,quantile,0.1,1462.476227118483
2024-03-13,ILI incidence,2024-03-10,1,AT,quantile,0.15,2053.3031622128456
2024-03-13,ILI incidence,2024-03-17,2,AT,quantile,0.15,1831.5167430356337
2024-03-13,ILI incidence,2024-03-24,3,AT,quantile,0.15,1664.9419267267824
2024-03-13,ILI incidence,2024-03-31,4,AT,quantile,0.15,1546.8174413373906
2024-03-13,ILI incidence,2024-03-10,1,AT,quantile,0.2,2074.3808642041663
2024-03-13,ILI incidence,2024-03-17,2,AT,quantile,0.2,1870.6015950634555
2024-03-13,ILI incidence,2024-03-24,3,AT,quantile,0.2,1717.436824618982
2024-03-13,ILI incidence,2024-03-31,4,AT,quantile,0.2,1604.8990247381537
2024-03-13,ILI incidence,2024-03-10,1,AT,quantile,0.25,2091.470613092929
2024-03-13,ILI incidence,2024-03-17,2,AT,quantile,0.25,1900.146236071241
2024-03-13,ILI incidence,2024-03-24,3,AT,quantile,0.25,1756.0365222798878
2024-03-13,ILI incidence,2024-03-31,4,AT,quantile,0.25,1651.4291645148996
2024-03-13,ILI incidence,2024-03-10,1,AT,quantile,0.3,2105.602316324781
2024-03-13,ILI incidence,2024-03-17,2,AT,quantile,0.3,1925.2323760221543
2024-03-13,ILI incidence,2024-03-24,3,AT,quantile,0.3,1789.0569496947198
2024-03-13,ILI incidence,2024-03-31,4,AT,quantile,0.3,1691.3880938382467
2024-03-13,ILI incidence,2024-03-10,1,AT,quantile,0.35,2117.700580178565
2024-03-13,ILI incidence,2024-03-17,2,AT,quantile,0.35,1946.677198620066
2024-03-13,ILI incidence,2024-03-24,3,AT,quantile,0.35,1817.7712061320813
2024-03-13,ILI incidence,2024-03-31,4,AT,quantile,0.35,1726.3310489874682
2024-03-13,ILI incidence,2024-03-10,1,AT,quantile,0.4,2128.036029349786
2024-03-13,ILI incidence,2024-03-17,2,AT,quantile,0.4,1965.7371128159707
2024-03-13,ILI incidence,2024-03-24,3,AT,quantile,0.4,1844.6043398830725
2024-03-13,ILI incidence,2024-03-31,4,AT,quantile,0.4,1759.7952394780027
2024-03-13,ILI incidence,2024-03-10,1,AT,quantile,0.45,2137.8508387855936
2024-03-13,ILI incidence,2024-03-17,2,AT,quantile,0.45,1983.8338736520468
2024-03-13,ILI incidence,2024-03-24,3,AT,quantile,0.45,1870.8729602198464
2024-03-13,ILI incidence,2024-03-31,4,AT,quantile,0.45,1793.0182509845076
2024-03-13,ILI incidence,2024-03-10,1,AT,quantile,0.5,2147.32781168962
2024-03-13,ILI incidence,2024-03-17,2,AT,quantile,0.5,2000.9525303043688
2024-03-13,ILI incidence,2024-03-24,3,AT,quantile,0.5,1896.275850295998
2024-03-13,ILI incidence,2024-03-31,4,AT,quantile,0.5,1826.1770015146176
2024-03-13,ILI incidence,2024-03-10,1,AT,quantile,0.55,2156.5044222515635
2024-03-13,ILI incidence,2024-03-17,2,AT,quantile,0.55,2019.08037527608
2024-03-13,ILI incidence,2024-03-24,3,AT,quantile,0.55,1921.38800466238
2024-03-13,ILI incidence,2024-03-31,4,AT,quantile,0.55,1861.772953791194
2024-03-13,ILI incidence,2024-03-10,1,AT,quantile,0.6,2165.6253479770617
2024-03-13,ILI incidence,2024-03-17,2,AT,quantile,0.6,2036.294497628821
2024-03-13,ILI incidence,2024-03-24,3,AT,quantile,0.6,1948.9769897889173
2024-03-13,ILI incidence,2024-03-31,4,AT,quantile,0.6,1896.431152063624
2024-03-13,ILI incidence,2024-03-10,1,AT,quantile,0.65,2174.898446836176
2024-03-13,ILI incidence,2024-03-17,2,AT,quantile,0.65,2055.757123710729
2024-03-13,ILI incidence,2024-03-24,3,AT,quantile,0.65,1977.1144099749847
2024-03-13,ILI incidence,2024-03-31,4,AT,quantile,0.65,1933.07125214851
2024-03-13,ILI incidence,2024-03-10,1,AT,quantile,0.7,2184.546817380691
2024-03-13,ILI incidence,2024-03-17,2,AT,quantile,0.7,2075.1984249546663
2024-03-13,ILI incidence,2024-03-24,3,AT,quantile,0.7,2008.1065574514607
2024-03-13,ILI incidence,2024-03-31,4,AT,quantile,0.7,1970.805389358322
2024-03-13,ILI incidence,2024-03-10,1,AT,quantile,0.75,2194.416804946132
2024-03-13,ILI incidence,2024-03-17,2,AT,quantile,0.75,2095.3366400167606
2024-03-13,ILI incidence,2024-03-24,3,AT,quantile,0.75,2036.9871000926264
2024-03-13,ILI incidence,2024-03-31,4,AT,quantile,0.75,2005.7564071219977
2024-03-13,ILI incidence,2024-03-10,1,AT,quantile,0.8,2204.673045320053
2024-03-13,ILI incidence,2024-03-17,2,AT,quantile,0.8,2116.671007061944
2024-03-13,ILI incidence,2024-03-24,3,AT,quantile,0.8,2066.8036685218376
2024-03-13,ILI incidence,2024-03-31,4,AT,quantile,0.8,2039.616470285671
2024-03-13,ILI incidence,2024-03-10,1,AT,quantile,0.85,2216.1321112074443
2024-03-13,ILI incidence,2024-03-17,2,AT,quantile,0.85,2138.960335329825
2024-03-13,ILI incidence,2024-03-24,3,AT,quantile,0.85,2095.8883102639907
2024-03-13,ILI incidence,2024-03-31,4,AT,quantile,0.85,2073.4547931097104
2024-03-13,ILI incidence,2024-03-10,1,AT,quantile,0.9,2228.695419800393
2024-03-13,ILI incidence,2024-03-17,2,AT,quantile,0.9,2161.419734308456
2024-03-13,ILI incidence,2024-03-24,3,AT,quantile,0.9,2124.533248464862
2024-03-13,ILI incidence,2024-03-31,4,AT,quantile,0.9,2105.588755902995
2024-03-13,ILI incidence,2024-03-10,1,AT,quantile,0.95,2244.0351765327728
2024-03-13,ILI incidence,2024-03-17,2,AT,quantile,0.95,2185.403026097723
2024-03-13,ILI incidence,2024-03-24,3,AT,quantile,0.95,2154.109726778752
2024-03-13,ILI incidence,2024-03-31,4,AT,quantile,0.95,2138.43598639398
2024-03-13,ILI incidence,2024-03-10,1,AT,quantile,0.975,2255.573821471627
2024-03-13,ILI incidence,2024-03-17,2,AT,quantile,0.975,2202.076435775702
2024-03-13,ILI incidence,2024-03-24,3,AT,quantile,0.975,2172.742401203548
2024-03-13,ILI incidence,2024-03-31,4,AT,quantile,0.975,2157.776173130694
2024-03-13,ILI incidence,2024-03-10,1,AT,quantile,0.99,2267.65628478935
2024-03-13,ILI incidence,2024-03-17,2,AT,quantile,0.99,2218.9002114262016
2024-03-13,ILI incidence,2024-03-24,3,AT,quantile,0.99,2191.549090056144
2024-03-13,ILI incidence,2024-03-31,4,AT,quantile,0.99,2177.253566966413
2024-03-13,ILI incidence,2024-03-10,1,AT,median,,2147.32781168962
2024-03-13,ILI incidence,2024-03-17,2,AT,median,,2000.9525303043688
2024-03-13,ILI incidence,2024-03-24,3,AT,median,,1896.275850295998
2024-03-13,ILI incidence,2024-03-31,4,AT,median,,1826.1770015146176
2024-03-13,ILI incidence,2024-03-10,1,HR,quantile,0.01,0.1427101203466629
2024-03-13,ILI incidence,2024-03-17,2,HR,quantile,0.01,0.1392733116507496
2024-03-13,ILI incidence,2024-03-24,3,HR,quantile,0.01,0.1391537609854566
2024-03-13,ILI incidence,2024-03-31,4,HR,quantile,0.01,0.1134122882713933
2024-03-13,ILI incidence,2024-03-10,1,HR,quantile,0.025,0.2742782750000862
2024-03-13,ILI incidence,2024-03-17,2,HR,quantile,0.025,0.2632663726493912
2024-03-13,ILI incidence,2024-03-24,3,HR,quantile,0.025,0.2369779355143005
2024-03-13,ILI incidence,2024-03-31,4,HR,quantile,0.025,0.1982427558241957
2024-03-13,ILI incidence,2024-03-10,1,HR,quantile,0.05,0.5673362197533117
2024-03-13,ILI incidence,2024-03-17,2,HR,quantile,0.05,0.54931036752725
2024-03-13,ILI incidence,2024-03-24,3,HR,quantile,0.05,0.485116496687385
2024-03-13,ILI incidence,2024-03-31,4,HR,quantile,0.05,0.3584610633588928
2024-03-13,ILI incidence,2024-03-10,1,HR,quantile,0.1,1.4824182151377836
2024-03-13,ILI incidence,2024-03-17,2,HR,quantile,0.1,1.3440179093648772
2024-03-13,ILI incidence,2024-03-24,3,HR,quantile,0.1,1.0350901665411918
2024-03-13,ILI incidence,2024-03-31,4,HR,quantile,0.1,0.718380886295054
2024-03-13,ILI incidence,2024-03-10,1,HR,quantile,0.15,2.331801921872156
2024-03-13,ILI incidence,2024-03-17,2,HR,quantile,0.15,2.0190049958673577
2024-03-13,ILI incidence,2024-03-24,3,HR,quantile,0.15,1.4863860973475258
2024-03-13,ILI incidence,2024-03-31,4,HR,quantile,0.15,1.0434605331417128
2024-03-13,ILI incidence,2024-03-10,1,HR,quantile,0.2,3.1515051924990867
2024-03-13,ILI incidence,2024-03-17,2,HR,quantile,0.2,2.719784423972976
2024-03-13,ILI incidence,2024-03-24,3,HR,quantile,0.2,1.994045046502488
2024-03-13,ILI incidence,2024-03-31,4,HR,quantile,0.2,1.3529072400409177
2024-03-13,ILI incidence,2024-03-10,1,HR,quantile,0.25,4.126612716265739
2024-03-13,ILI incidence,2024-03-17,2,HR,quantile,0.25,3.3530205720530053
2024-03-13,ILI incidence,2024-03-24,3,HR,quantile,0.25,2.498431930447515
2024-03-13,ILI incidence,2024-03-31,4,HR,quantile,0.25,1.7219191010861643
2024-03-13,ILI incidence,2024-03-10,1,HR,quantile,0.3,5.040836518756898
2024-03-13,ILI incidence,2024-03-17,2,HR,quantile,0.3,3.914303114637966
