origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.01,498.20
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.01,289.50
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.01,157.60
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.01,80.50
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.025,505.20
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.025,293.30
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.025,160.00
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.025,82.50
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.05,512.15
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.05,298.69
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.05,164.59
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.05,85.50
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.1,527.69
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.1,312.59
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.1,174.86
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.1,92.10
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.15,538.74
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.15,322.33
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.15,180.80
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.15,96.23
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.2,546.29
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.2,329.58
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.2,186.29
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.2,99.30
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.25,559.19
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.25,336.20
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.25,190.54
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.25,102.32
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.3,569.07
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.3,344.11
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.3,195.90
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.3,105.40
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.35,575.32
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.35,351.53
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.35,200.68
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.35,108.00
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.4,588.95
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.4,359.46
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.4,205.46
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.4,111.04
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.45,597.61
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.45,365.13
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.45,209.80
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.45,114.18
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.5,605.05
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.5,372.37
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.5,215.12
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.5,117.10
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.55,617.64
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.55,381.49
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.55,220.29
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.55,120.50
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.6,632.60
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.6,392.65
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.6,228.34
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.6,125.33
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.65,643.22
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.65,401.14
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.65,233.80
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.65,129.04
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.7,660.20
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.7,410.73
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.7,242.01
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.7,134.68
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.75,671.02
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.75,425.12
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.75,251.66
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.75,140.60
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.8,691.29
