origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-02-07,ILI incidence,2024-02-04,1,AT,quantile,0.01,2416.128590304679
2024-02-07,ILI incidence,2024-02-11,2,AT,quantile,0.01,2480.0338334682297
2024-02-07,ILI incidence,2024-02-18,3,AT,quantile,0.01,2510.7834906417525
2024-02-07,ILI incidence,2024-02-25,4,AT,quantile,0.01,2506.6383136196405
2024-02-07,ILI incidence,2024-02-04,1,AT,quantile,0.025,2482.583799420551
2024-02-07,ILI incidence,2024-02-11,2,AT,quantile,0.025,2517.2857359293075
2024-02-07,ILI incidence,2024-02-18,3,AT,quantile,0.025,2535.543756425019
2024-02-07,ILI incidence,2024-02-25,4,AT,quantile,0.025,2515.6095855773647
2024-02-07,ILI incidence,2024-02-04,1,AT,quantile,0.05,2523.674261326254
2024-02-07,ILI incidence,2024-02-11,2,AT,quantile,0.05,2554.542153126931
2024-02-07,ILI incidence,2024-02-18,3,AT,quantile,0.05,2562.527570027792
2024-02-07,ILI incidence,2024-02-25,4,AT,quantile,0.05,2530.016632372515
2024-02-07,ILI incidence,2024-02-04,1,AT,quantile,0.1,2578.4421260705035
2024-02-07,ILI incidence,2024-02-11,2,AT,quantile,0.1,2605.729882693139
2024-02-07,ILI incidence,2024-02-18,3,AT,quantile,0.1,2602.7383159487485
2024-02-07,ILI incidence,2024-02-25,4,AT,quantile,0.1,2557.4378168268454
2024-02-07,ILI incidence,2024-02-04,1,AT,quantile,0.15,2619.790847656571
2024-02-07,ILI incidence,2024-02-11,2,AT,quantile,0.15,2643.981328566348
2024-02-07,ILI incidence,2024-02-18,3,AT,quantile,0.15,2635.7284480229528
2024-02-07,ILI incidence,2024-02-25,4,AT,quantile,0.15,2587.230724052604
2024-02-07,ILI incidence,2024-02-04,1,AT,quantile,0.2,2656.004172837571
2024-02-07,ILI incidence,2024-02-11,2,AT,quantile,0.2,2679.257807142882
2024-02-07,ILI incidence,2024-02-18,3,AT,quantile,0.2,2663.7729881167315
2024-02-07,ILI incidence,2024-02-25,4,AT,quantile,0.2,2615.498862765989
2024-02-07,ILI incidence,2024-02-04,1,AT,quantile,0.25,2691.2885315523536
2024-02-07,ILI incidence,2024-02-11,2,AT,quantile,0.25,2711.9739458540066
2024-02-07,ILI incidence,2024-02-18,3,AT,quantile,0.25,2692.598366264473
2024-02-07,ILI incidence,2024-02-25,4,AT,quantile,0.25,2645.2538466875576
2024-02-07,ILI incidence,2024-02-04,1,AT,quantile,0.3,2729.003474811664
2024-02-07,ILI incidence,2024-02-11,2,AT,quantile,0.3,2741.751878037438
2024-02-07,ILI incidence,2024-02-18,3,AT,quantile,0.3,2719.914708112828
2024-02-07,ILI incidence,2024-02-25,4,AT,quantile,0.3,2673.800597874988
2024-02-07,ILI incidence,2024-02-04,1,AT,quantile,0.35,2759.456762192653
2024-02-07,ILI incidence,2024-02-11,2,AT,quantile,0.35,2772.794274328222
2024-02-07,ILI incidence,2024-02-18,3,AT,quantile,0.35,2748.855042109574
2024-02-07,ILI incidence,2024-02-25,4,AT,quantile,0.35,2703.047059177299
2024-02-07,ILI incidence,2024-02-04,1,AT,quantile,0.4,2792.503581646753
2024-02-07,ILI incidence,2024-02-11,2,AT,quantile,0.4,2802.3032241267388
2024-02-07,ILI incidence,2024-02-18,3,AT,quantile,0.4,2778.2857506146765
2024-02-07,ILI incidence,2024-02-25,4,AT,quantile,0.4,2732.525269040487
2024-02-07,ILI incidence,2024-02-04,1,AT,quantile,0.45,2823.656532664503
2024-02-07,ILI incidence,2024-02-11,2,AT,quantile,0.45,2830.858952434529
2024-02-07,ILI incidence,2024-02-18,3,AT,quantile,0.45,2808.5312756415283
2024-02-07,ILI incidence,2024-02-25,4,AT,quantile,0.45,2762.218172619914
2024-02-07,ILI incidence,2024-02-04,1,AT,quantile,0.5,2853.5948557892857
2024-02-07,ILI incidence,2024-02-11,2,AT,quantile,0.5,2862.363400052944
2024-02-07,ILI incidence,2024-02-18,3,AT,quantile,0.5,2840.3740142159168
2024-02-07,ILI incidence,2024-02-25,4,AT,quantile,0.5,2794.649071715722
2024-02-07,ILI incidence,2024-02-04,1,AT,quantile,0.55,2887.5775750750854
2024-02-07,ILI incidence,2024-02-11,2,AT,quantile,0.55,2894.514993176178
2024-02-07,ILI incidence,2024-02-18,3,AT,quantile,0.55,2872.54311556608
2024-02-07,ILI incidence,2024-02-25,4,AT,quantile,0.55,2830.673195387864
2024-02-07,ILI incidence,2024-02-04,1,AT,quantile,0.6,2920.7640827372024
2024-02-07,ILI incidence,2024-02-11,2,AT,quantile,0.6,2926.3993373695203
2024-02-07,ILI incidence,2024-02-18,3,AT,quantile,0.6,2908.7023984070784
2024-02-07,ILI incidence,2024-02-25,4,AT,quantile,0.6,2867.3956466454047
2024-02-07,ILI incidence,2024-02-04,1,AT,quantile,0.65,2953.3497089035623
2024-02-07,ILI incidence,2024-02-11,2,AT,quantile,0.65,2964.8963325780765
2024-02-07,ILI incidence,2024-02-18,3,AT,quantile,0.65,2946.230108093692
2024-02-07,ILI incidence,2024-02-25,4,AT,quantile,0.65,2905.738145700617
2024-02-07,ILI incidence,2024-02-04,1,AT,quantile,0.7,2989.133630088838
2024-02-07,ILI incidence,2024-02-11,2,AT,quantile,0.7,3002.685359258546
2024-02-07,ILI incidence,2024-02-18,3,AT,quantile,0.7,2989.712866171503
2024-02-07,ILI incidence,2024-02-25,4,AT,quantile,0.7,2952.2164675403
2024-02-07,ILI incidence,2024-02-04,1,AT,quantile,0.75,3028.1353704648027
2024-02-07,ILI incidence,2024-02-11,2,AT,quantile,0.75,3048.0806732550736
2024-02-07,ILI incidence,2024-02-18,3,AT,quantile,0.75,3040.9804597644907
