origin_date,target_end_date,target,horizon,location,output_type,output_type_id,value
2024-02-21,2024-02-18,ILI incidence,1,IT,quantile,0.01,639.7480052509463
2024-02-21,2024-02-18,ILI incidence,1,IT,quantile,0.025,661.8997466151496
2024-02-21,2024-02-18,ILI incidence,1,IT,quantile,0.05,680.3733480605476
2024-02-21,2024-02-18,ILI incidence,1,IT,quantile,0.1,701.1398880495582
2024-02-21,2024-02-18,ILI incidence,1,IT,quantile,0.15,714.8947666725038
2024-02-21,2024-02-18,ILI incidence,1,IT,quantile,0.2,725.710941964286
2024-02-21,2024-02-18,ILI incidence,1,IT,quantile,0.25,734.9247933310279
2024-02-21,2024-02-18,ILI incidence,1,IT,quantile,0.3,743.1581586688499
2024-02-21,2024-02-18,ILI incidence,1,IT,quantile,0.35,750.7608436395642
2024-02-21,2024-02-18,ILI incidence,1,IT,quantile,0.4,757.9576251045341
2024-02-21,2024-02-18,ILI incidence,1,IT,quantile,0.45,764.9100016399377
2024-02-21,2024-02-18,ILI incidence,1,IT,quantile,0.5,771.7471124229997
2024-02-21,2024-02-18,ILI incidence,1,IT,quantile,0.55,778.5842232060618
2024-02-21,2024-02-18,ILI incidence,1,IT,quantile,0.6,785.5365997414654
2024-02-21,2024-02-18,ILI incidence,1,IT,quantile,0.65,792.7333812064353
2024-02-21,2024-02-18,ILI incidence,1,IT,quantile,0.7,800.3360661771497
2024-02-21,2024-02-18,ILI incidence,1,IT,quantile,0.75,808.5694315149716
2024-02-21,2024-02-18,ILI incidence,1,IT,quantile,0.8,817.7832828817136
2024-02-21,2024-02-18,ILI incidence,1,IT,quantile,0.85,828.5994581734958
2024-02-21,2024-02-18,ILI incidence,1,IT,quantile,0.9,842.3543367964413
2024-02-21,2024-02-18,ILI incidence,1,IT,quantile,0.95,863.1208767854519
2024-02-21,2024-02-18,ILI incidence,1,IT,quantile,0.975,881.5944782308499
2024-02-21,2024-02-18,ILI incidence,1,IT,quantile,0.99,903.7462195950532
2024-02-21,2024-02-25,ILI incidence,2,IT,quantile,0.01,544.4043455991939
2024-02-21,2024-02-25,ILI incidence,2,IT,quantile,0.025,580.9841612637746
2024-02-21,2024-02-25,ILI incidence,2,IT,quantile,0.05,611.4291986679738
2024-02-21,2024-02-25,ILI incidence,2,IT,quantile,0.1,645.5967824830694
2024-02-21,2024-02-25,ILI incidence,2,IT,quantile,0.15,668.200726773556
2024-02-21,2024-02-25,ILI incidence,2,IT,quantile,0.2,685.9630377369847
2024-02-21,2024-02-25,ILI incidence,2,IT,quantile,0.25,701.0870210326912
2024-02-21,2024-02-25,ILI incidence,2,IT,quantile,0.3,714.5972152445202
2024-02-21,2024-02-25,ILI incidence,2,IT,quantile,0.35,727.0696575452262
2024-02-21,2024-02-25,ILI incidence,2,IT,quantile,0.4,738.8743366093347
2024-02-21,2024-02-25,ILI incidence,2,IT,quantile,0.45,750.276990178405
2024-02-21,2024-02-25,ILI incidence,2,IT,quantile,0.5,761.4900553277657
2024-02-21,2024-02-25,ILI incidence,2,IT,quantile,0.55,772.7031204771264
2024-02-21,2024-02-25,ILI incidence,2,IT,quantile,0.6,784.1057740461968
2024-02-21,2024-02-25,ILI incidence,2,IT,quantile,0.65,795.9104531103052
2024-02-21,2024-02-25,ILI incidence,2,IT,quantile,0.7,808.3828954110112
2024-02-21,2024-02-25,ILI incidence,2,IT,quantile,0.75,821.8930896228402
2024-02-21,2024-02-25,ILI incidence,2,IT,quantile,0.8,837.0170729185468
2024-02-21,2024-02-25,ILI incidence,2,IT,quantile,0.85,854.7793838819754
2024-02-21,2024-02-25,ILI incidence,2,IT,quantile,0.9,877.3833281724618
2024-02-21,2024-02-25,ILI incidence,2,IT,quantile,0.95,911.5509119875576
2024-02-21,2024-02-25,ILI incidence,2,IT,quantile,0.975,941.9959493917569
2024-02-21,2024-02-25,ILI incidence,2,IT,quantile,0.99,978.5757650563376
2024-02-21,2024-03-03,ILI incidence,3,IT,quantile,0.01,414.7452567723297
2024-02-21,2024-03-03,ILI incidence,3,IT,quantile,0.025,466.9353183036075
2024-02-21,2024-03-03,ILI incidence,3,IT,quantile,0.05,510.27379175065545
2024-02-21,2024-03-03,ILI incidence,3,IT,quantile,0.1,558.8202014262336
2024-02-21,2024-03-03,ILI incidence,3,IT,quantile,0.15,590.8926079227008
2024-02-21,2024-03-03,ILI incidence,3,IT,quantile,0.2,616.0753467149171
2024-02-21,2024-03-03,ILI incidence,3,IT,quantile,0.25,637.5062695786813
2024-02-21,2024-03-03,ILI incidence,3,IT,quantile,0.3,656.643356103335
2024-02-21,2024-03-03,ILI incidence,3,IT,quantile,0.35,674.3058529241633
2024-02-21,2024-03-03,ILI incidence,3,IT,quantile,0.4,691.0197044411735
2024-02-21,2024-03-03,ILI incidence,3,IT,quantile,0.45,707.1625099880544
2024-02-21,2024-03-03,ILI incidence,3,IT,quantile,0.5,723.0360426082374
2024-02-21,2024-03-03,ILI incidence,3,IT,quantile,0.55,738.9095752284204
2024-02-21,2024-03-03,ILI incidence,3,IT,quantile,0.6,755.0523807753013
2024-02-21,2024-03-03,ILI incidence,3,IT,quantile,0.65,771.7662322923114
2024-02-21,2024-03-03,ILI incidence,3,IT,quantile,0.7,789.4287291131398
2024-02-21,2024-03-03,ILI incidence,3,IT,quantile,0.75,808.5658156377935
2024-02-21,2024-03-03,ILI incidence,3,IT,quantile,0.8,829.9967385015577
2024-02-21,2024-03-03,ILI incidence,3,IT,quantile,0.85,855.179477293774
2024-02-21,2024-03-03,ILI incidence,3,IT,quantile,0.9,887.2518837902412
2024-02-21,2024-03-03,ILI incidence,3,IT,quantile,0.95,935.7982934658193
2024-02-21,2024-03-03,ILI incidence,3,IT,quantile,0.975,979.1367669128672
2024-02-21,2024-03-03,ILI incidence,3,IT,quantile,0.99,1031.3268284441451
2024-02-21,2024-03-10,ILI incidence,4,IT,quantile,0.01,304.33958665500387
2024-02-21,2024-03-10,ILI incidence,4,IT,quantile,0.025,364.90003328282455
2024-02-21,2024-03-10,ILI incidence,4,IT,quantile,0.05,415.05780196683287
2024-02-21,2024-03-10,ILI incidence,4,IT,quantile,0.1,471.1220275566752
2024-02-21,2024-03-10,ILI incidence,4,IT,quantile,0.15,508.10275495346866
2024-02-21,2024-03-10,ILI incidence,4,IT,quantile,0.2,537.1130032192776
2024-02-21,2024-03-10,ILI incidence,4,IT,quantile,0.25,561.7862437542793
2024-02-21,2024-03-10,ILI incidence,4,IT,quantile,0.3,583.809248720525
2024-02-21,2024-03-10,ILI incidence,4,IT,quantile,0.35,604.1291751832907
2024-02-21,2024-03-10,ILI incidence,4,IT,quantile,0.4,623.3537428626595
2024-02-21,2024-03-10,ILI incidence,4,IT,quantile,0.45,641.9190602791955
2024-02-21,2024-03-10,ILI incidence,4,IT,quantile,0.5,660.1735427347643
2024-02-21,2024-03-10,ILI incidence,4,IT,quantile,0.55,678.428025190333
2024-02-21,2024-03-10,ILI incidence,4,IT,quantile,0.6,696.993342606869
2024-02-21,2024-03-10,ILI incidence,4,IT,quantile,0.65,716.2179102862377
2024-02-21,2024-03-10,ILI incidence,4,IT,quantile,0.7,736.5378367490034
2024-02-21,2024-03-10,ILI incidence,4,IT,quantile,0.75,758.5608417152491
2024-02-21,2024-03-10,ILI incidence,4,IT,quantile,0.8,783.2340822502508
2024-02-21,2024-03-10,ILI incidence,4,IT,quantile,0.85,812.2443305160598
2024-02-21,2024-03-10,ILI incidence,4,IT,quantile,0.9,849.2250579128532
2024-02-21,2024-03-10,ILI incidence,4,IT,quantile,0.95,905.2892835026956
2024-02-21,2024-03-10,ILI incidence,4,IT,quantile,0.975,955.4470521867039
2024-02-21,2024-03-10,ILI incidence,4,IT,quantile,0.99,1016.0074988145245
