target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
ILI incidence,AT,2024-04-10,2024-04-07,0.01,1,quantile,644.652643489875
ILI incidence,AT,2024-04-10,2024-04-07,0.025,1,quantile,741.580134776182
ILI incidence,AT,2024-04-10,2024-04-07,0.05,1,quantile,848.536993625718
ILI incidence,AT,2024-04-10,2024-04-07,0.1,1,quantile,977.367983473364
ILI incidence,AT,2024-04-10,2024-04-07,0.15,1,quantile,1058.17476345216
ILI incidence,AT,2024-04-10,2024-04-07,0.2,1,quantile,1126.97595783266
ILI incidence,AT,2024-04-10,2024-04-07,0.25,1,quantile,1178.3795415803
ILI incidence,AT,2024-04-10,2024-04-07,0.3,1,quantile,1245.60849791385
ILI incidence,AT,2024-04-10,2024-04-07,0.35,1,quantile,1304.64194514219
ILI incidence,AT,2024-04-10,2024-04-07,0.4,1,quantile,1351.29147511012
ILI incidence,AT,2024-04-10,2024-04-07,0.45,1,quantile,1408.19277672001
ILI incidence,AT,2024-04-10,2024-04-07,0.5,1,quantile,1456.01416562641
ILI incidence,AT,2024-04-10,2024-04-07,0.55,1,quantile,1504.71603495185
ILI incidence,AT,2024-04-10,2024-04-07,0.6,1,quantile,1549.63949917436
ILI incidence,AT,2024-04-10,2024-04-07,0.65,1,quantile,1610.08097137508
ILI incidence,AT,2024-04-10,2024-04-07,0.7,1,quantile,1672.63263105424
ILI incidence,AT,2024-04-10,2024-04-07,0.75,1,quantile,1731.36678493558
ILI incidence,AT,2024-04-10,2024-04-07,0.8,1,quantile,1800.35146872986
ILI incidence,AT,2024-04-10,2024-04-07,0.85,1,quantile,1886.78487441686
ILI incidence,AT,2024-04-10,2024-04-07,0.9,1,quantile,1983.9225756305
ILI incidence,AT,2024-04-10,2024-04-07,0.95,1,quantile,2128.71712499491
ILI incidence,AT,2024-04-10,2024-04-07,0.975,1,quantile,2272.08478883215
ILI incidence,AT,2024-04-10,2024-04-07,0.99,1,quantile,2436.8486329711
ILI incidence,AT,2024-04-10,2024-04-14,0.01,2,quantile,222.901651689791
ILI incidence,AT,2024-04-10,2024-04-14,0.025,2,quantile,282.743269316741
ILI incidence,AT,2024-04-10,2024-04-14,0.05,2,quantile,403.896405289829
ILI incidence,AT,2024-04-10,2024-04-14,0.1,2,quantile,547.761999066
ILI incidence,AT,2024-04-10,2024-04-14,0.15,2,quantile,660.317794570565
ILI incidence,AT,2024-04-10,2024-04-14,0.2,2,quantile,777.126783966152
ILI incidence,AT,2024-04-10,2024-04-14,0.25,2,quantile,882.489280048299
ILI incidence,AT,2024-04-10,2024-04-14,0.3,2,quantile,957.812532189342
ILI incidence,AT,2024-04-10,2024-04-14,0.35,2,quantile,1038.11540270431
ILI incidence,AT,2024-04-10,2024-04-14,0.4,2,quantile,1106.78498568714
ILI incidence,AT,2024-04-10,2024-04-14,0.45,2,quantile,1171.37122072355
ILI incidence,AT,2024-04-10,2024-04-14,0.5,2,quantile,1237.95241079534
ILI incidence,AT,2024-04-10,2024-04-14,0.55,2,quantile,1325.49250932558
ILI incidence,AT,2024-04-10,2024-04-14,0.6,2,quantile,1400.9628446488
ILI incidence,AT,2024-04-10,2024-04-14,0.65,2,quantile,1479.55361648159
ILI incidence,AT,2024-04-10,2024-04-14,0.7,2,quantile,1562.17038798674
ILI incidence,AT,2024-04-10,2024-04-14,0.75,2,quantile,1668.35637485699
ILI incidence,AT,2024-04-10,2024-04-14,0.8,2,quantile,1762.45820990317
ILI incidence,AT,2024-04-10,2024-04-14,0.85,2,quantile,1897.9749423685
ILI incidence,AT,2024-04-10,2024-04-14,0.9,2,quantile,2107.87636388519
ILI incidence,AT,2024-04-10,2024-04-14,0.95,2,quantile,2318.77207931367
ILI incidence,AT,2024-04-10,2024-04-14,0.975,2,quantile,2535.29824472931
ILI incidence,AT,2024-04-10,2024-04-14,0.99,2,quantile,2731.1469379797
ILI incidence,AT,2024-04-10,2024-04-21,0.01,3,quantile,72.2564001613725
ILI incidence,AT,2024-04-10,2024-04-21,0.025,3,quantile,104.381974403268
ILI incidence,AT,2024-04-10,2024-04-21,0.05,3,quantile,176.012304689823
ILI incidence,AT,2024-04-10,2024-04-21,0.1,3,quantile,335.721276617177
ILI incidence,AT,2024-04-10,2024-04-21,0.15,3,quantile,461.34895342875
ILI incidence,AT,2024-04-10,2024-04-21,0.2,3,quantile,565.409152447814
ILI incidence,AT,2024-04-10,2024-04-21,0.25,3,quantile,643.872138391021
ILI incidence,AT,2024-04-10,2024-04-21,0.3,3,quantile,721.032227663258
ILI incidence,AT,2024-04-10,2024-04-21,0.35,3,quantile,803.574934463814
ILI incidence,AT,2024-04-10,2024-04-21,0.4,3,quantile,887.090948070903
ILI incidence,AT,2024-04-10,2024-04-21,0.45,3,quantile,965.394055336043
ILI incidence,AT,2024-04-10,2024-04-21,0.5,3,quantile,1048.09736799169
ILI incidence,AT,2024-04-10,2024-04-21,0.55,3,quantile,1146.38870843593
ILI incidence,AT,2024-04-10,2024-04-21,0.6,3,quantile,1237.75175129991
ILI incidence,AT,2024-04-10,2024-04-21,0.65,3,quantile,1353.32800961248
ILI incidence,AT,2024-04-10,2024-04-21,0.7,3,quantile,1436.93029544149
ILI incidence,AT,2024-04-10,2024-04-21,0.75,3,quantile,1562.17501883254
ILI incidence,AT,2024-04-10,2024-04-21,0.8,3,quantile,1684.24202233327
ILI incidence,AT,2024-04-10,2024-04-21,0.85,3,quantile,1863.02435188099
ILI incidence,AT,2024-04-10,2024-04-21,0.9,3,quantile,2071.59415666478
