origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-02-21,ILI incidence,2024-02-18,1,BE,quantile,0.01,528.7764199682944
2024-02-21,ILI incidence,2024-02-25,2,BE,quantile,0.01,357.66174365703864
2024-02-21,ILI incidence,2024-03-03,3,BE,quantile,0.01,337.40453300916795
2024-02-21,ILI incidence,2024-03-10,4,BE,quantile,0.01,377.07773372068345
2024-02-21,ILI incidence,2024-02-18,1,BE,quantile,0.025,531.1039592259958
2024-02-21,ILI incidence,2024-02-25,2,BE,quantile,0.025,361.3600303186581
2024-02-21,ILI incidence,2024-03-03,3,BE,quantile,0.025,341.92627231478554
2024-02-21,ILI incidence,2024-03-10,4,BE,quantile,0.025,382.14748184147874
2024-02-21,ILI incidence,2024-02-18,1,BE,quantile,0.05,534.9091322157543
2024-02-21,ILI incidence,2024-02-25,2,BE,quantile,0.05,367.4061670128574
2024-02-21,ILI incidence,2024-03-03,3,BE,quantile,0.05,349.31862894874246
2024-02-21,ILI incidence,2024-03-10,4,BE,quantile,0.05,390.43574961195634
2024-02-21,ILI incidence,2024-02-18,1,BE,quantile,0.1,542.2750674276325
2024-02-21,ILI incidence,2024-02-25,2,BE,quantile,0.1,379.110089880884
2024-02-21,ILI incidence,2024-03-03,3,BE,quantile,0.1,363.6285223952114
2024-02-21,ILI incidence,2024-03-10,4,BE,quantile,0.1,406.4799198981309
2024-02-21,ILI incidence,2024-02-18,1,BE,quantile,0.15,549.3677616723498
2024-02-21,ILI incidence,2024-02-25,2,BE,quantile,0.15,390.3798531870834
2024-02-21,ILI incidence,2024-03-03,3,BE,quantile,0.15,377.4075872350184
2024-02-21,ILI incidence,2024-03-10,4,BE,quantile,0.15,421.9289282014497
2024-02-21,ILI incidence,2024-02-18,1,BE,quantile,0.2,556.2398985349605
2024-02-21,ILI incidence,2024-02-25,2,BE,quantile,0.2,401.2991672273176
2024-02-21,ILI incidence,2024-03-03,3,BE,quantile,0.2,390.7581725204997
2024-02-21,ILI incidence,2024-03-10,4,BE,quantile,0.2,436.8975276911414
2024-02-21,ILI incidence,2024-02-18,1,BE,quantile,0.25,562.9352538964179
2024-02-21,ILI incidence,2024-02-25,2,BE,quantile,0.25,411.9375886185567
2024-02-21,ILI incidence,2024-03-03,3,BE,quantile,0.25,403.7653221970538
2024-02-21,ILI incidence,2024-03-10,4,BE,quantile,0.25,451.4810691499976
2024-02-21,ILI incidence,2024-02-18,1,BE,quantile,0.3,569.4911576320033
2024-02-21,ILI incidence,2024-02-25,2,BE,quantile,0.3,422.3544317544786
2024-02-21,ILI incidence,2024-03-03,3,BE,quantile,0.3,416.5015574751283
2024-02-21,ILI incidence,2024-03-10,4,BE,quantile,0.3,465.760862942357
2024-02-21,ILI incidence,2024-02-18,1,BE,quantile,0.35,575.9402684030858
2024-02-21,ILI incidence,2024-02-25,2,BE,quantile,0.35,432.6015888174937
2024-02-21,ILI incidence,2024-03-03,3,BE,quantile,0.35,429.030324740125
2024-02-21,ILI incidence,2024-03-10,4,BE,quantile,0.35,479.8080447908744
2024-02-21,ILI incidence,2024-02-18,1,BE,quantile,0.4,582.3119041639644
2024-02-21,ILI incidence,2024-02-25,2,BE,quantile,0.4,442.725643855098
2024-02-21,ILI incidence,2024-03-03,3,BE,quantile,0.4,441.4085803444983
2024-02-21,ILI incidence,2024-03-10,4,BE,quantile,0.4,493.6864738305656
2024-02-21,ILI incidence,2024-02-18,1,BE,quantile,0.45,588.6330835543524
2024-02-21,ILI incidence,2024-02-25,2,BE,quantile,0.45,452.7695274750296
2024-02-21,ILI incidence,2024-03-03,3,BE,quantile,0.45,453.6888137338175
2024-02-21,ILI incidence,2024-03-10,4,BE,quantile,0.45,507.45500092612
2024-02-21,ILI incidence,2024-02-18,1,BE,quantile,0.5,594.9293826033895
2024-02-21,ILI incidence,2024-02-25,2,BE,quantile,0.5,462.77387808418587
2024-02-21,ILI incidence,2024-03-03,3,BE,quantile,0.5,465.9207117762454
2024-02-21,ILI incidence,2024-03-10,4,BE,quantile,0.5,521.1693347085469
2024-02-21,ILI incidence,2024-02-18,1,BE,quantile,0.55,601.2256816524266
2024-02-21,ILI incidence,2024-02-25,2,BE,quantile,0.55,472.7782286933421
2024-02-21,ILI incidence,2024-03-03,3,BE,quantile,0.55,478.1526098186733
2024-02-21,ILI incidence,2024-03-10,4,BE,quantile,0.55,534.8836684909738
2024-02-21,ILI incidence,2024-02-18,1,BE,quantile,0.6,607.5468610428146
2024-02-21,ILI incidence,2024-02-25,2,BE,quantile,0.6,482.82211231327375
2024-02-21,ILI incidence,2024-03-03,3,BE,quantile,0.6,490.4328432079925
2024-02-21,ILI incidence,2024-03-10,4,BE,quantile,0.6,548.6521955865283
2024-02-21,ILI incidence,2024-02-18,1,BE,quantile,0.65,613.9184968036932
2024-02-21,ILI incidence,2024-02-25,2,BE,quantile,0.65,492.946167350878
2024-02-21,ILI incidence,2024-03-03,3,BE,quantile,0.65,502.8110988123658
2024-02-21,ILI incidence,2024-03-10,4,BE,quantile,0.65,562.5306246262194
2024-02-21,ILI incidence,2024-02-18,1,BE,quantile,0.7,620.3676075747758
2024-02-21,ILI incidence,2024-02-25,2,BE,quantile,0.7,503.1933244138932
2024-02-21,ILI incidence,2024-03-03,3,BE,quantile,0.7,515.3398660773626
2024-02-21,ILI incidence,2024-03-10,4,BE,quantile,0.7,576.5778064747368
2024-02-21,ILI incidence,2024-02-18,1,BE,quantile,0.75,626.9235113103612
2024-02-21,ILI incidence,2024-02-25,2,BE,quantile,0.75,513.6101675498151
2024-02-21,ILI incidence,2024-03-03,3,BE,quantile,0.75,528.076101355437
