origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-03-20,ILI incidence,2024-03-17,1,DK,quantile,0.01,9.11
2024-03-20,ILI incidence,2024-03-17,1,DK,quantile,0.025,13.16
2024-03-20,ILI incidence,2024-03-17,1,DK,quantile,0.05,18.64
2024-03-20,ILI incidence,2024-03-17,1,DK,quantile,0.1,27.37
2024-03-20,ILI incidence,2024-03-17,1,DK,quantile,0.15,35.47
2024-03-20,ILI incidence,2024-03-17,1,DK,quantile,0.2,44.29
2024-03-20,ILI incidence,2024-03-17,1,DK,quantile,0.25,51.31
2024-03-20,ILI incidence,2024-03-17,1,DK,quantile,0.3,57.37
2024-03-20,ILI incidence,2024-03-17,1,DK,quantile,0.35,63.63
2024-03-20,ILI incidence,2024-03-17,1,DK,quantile,0.4,71.05
2024-03-20,ILI incidence,2024-03-17,1,DK,quantile,0.45,79.27
2024-03-20,ILI incidence,2024-03-17,1,DK,quantile,0.5,86.23
2024-03-20,ILI incidence,2024-03-17,1,DK,median,,86.23
2024-03-20,ILI incidence,2024-03-17,1,DK,quantile,0.55,93.19
2024-03-20,ILI incidence,2024-03-17,1,DK,quantile,0.6,100.15
2024-03-20,ILI incidence,2024-03-17,1,DK,quantile,0.65,108.34
2024-03-20,ILI incidence,2024-03-17,1,DK,quantile,0.7,116.66
2024-03-20,ILI incidence,2024-03-17,1,DK,quantile,0.75,125.63
2024-03-20,ILI incidence,2024-03-17,1,DK,quantile,0.8,136.05
2024-03-20,ILI incidence,2024-03-17,1,DK,quantile,0.85,147.65
2024-03-20,ILI incidence,2024-03-17,1,DK,quantile,0.9,162.19
2024-03-20,ILI incidence,2024-03-17,1,DK,quantile,0.95,192.16
2024-03-20,ILI incidence,2024-03-17,1,DK,quantile,0.975,220.85
2024-03-20,ILI incidence,2024-03-17,1,DK,quantile,0.99,242.77
2024-03-20,ILI incidence,2024-03-24,2,DK,quantile,0.01,6.22
2024-03-20,ILI incidence,2024-03-24,2,DK,quantile,0.025,9.05
2024-03-20,ILI incidence,2024-03-24,2,DK,quantile,0.05,13.03
2024-03-20,ILI incidence,2024-03-24,2,DK,quantile,0.1,19.68
2024-03-20,ILI incidence,2024-03-24,2,DK,quantile,0.15,26.16
2024-03-20,ILI incidence,2024-03-24,2,DK,quantile,0.2,32.99
