origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2023-12-20,ILI incidence,2023-12-17,1,AT,median,,2562.8742077677
2023-12-20,ILI incidence,2023-12-17,1,AT,quantile,0.01,2455.42278980529
2023-12-20,ILI incidence,2023-12-17,1,AT,quantile,0.025,2474.62434431397
2023-12-20,ILI incidence,2023-12-17,1,AT,quantile,0.05,2487.91165744206
2023-12-20,ILI incidence,2023-12-17,1,AT,quantile,0.1,2504.30605424887
2023-12-20,ILI incidence,2023-12-17,1,AT,quantile,0.15,2514.24945391157
2023-12-20,ILI incidence,2023-12-17,1,AT,quantile,0.2,2521.45675375381
2023-12-20,ILI incidence,2023-12-17,1,AT,quantile,0.25,2526.83708896052
2023-12-20,ILI incidence,2023-12-17,1,AT,quantile,0.3,2532.24632983207
2023-12-20,ILI incidence,2023-12-17,1,AT,quantile,0.35,2539.44725310417
2023-12-20,ILI incidence,2023-12-17,1,AT,quantile,0.4,2546.38830557971
2023-12-20,ILI incidence,2023-12-17,1,AT,quantile,0.45,2553.47599528455
2023-12-20,ILI incidence,2023-12-17,1,AT,quantile,0.5,2562.8742077677
2023-12-20,ILI incidence,2023-12-17,1,AT,quantile,0.55,2571.56502257351
2023-12-20,ILI incidence,2023-12-17,1,AT,quantile,0.6,2580.90734144094
2023-12-20,ILI incidence,2023-12-17,1,AT,quantile,0.65,2589.80661436279
2023-12-20,ILI incidence,2023-12-17,1,AT,quantile,0.7,2610.86834426495
2023-12-20,ILI incidence,2023-12-17,1,AT,quantile,0.75,2662.33922537439
2023-12-20,ILI incidence,2023-12-17,1,AT,quantile,0.8,2726.17144427858
2023-12-20,ILI incidence,2023-12-17,1,AT,quantile,0.85,2793.96668492062
2023-12-20,ILI incidence,2023-12-17,1,AT,quantile,0.9,2857.27956299222
2023-12-20,ILI incidence,2023-12-17,1,AT,quantile,0.95,2891.07659396733
2023-12-20,ILI incidence,2023-12-17,1,AT,quantile,0.975,2935.05175113767
2023-12-20,ILI incidence,2023-12-17,1,AT,quantile,0.99,2981.93230629779
2023-12-20,ILI incidence,2023-12-17,1,BE,median,,335.10791285658
2023-12-20,ILI incidence,2023-12-17,1,BE,quantile,0.01,231.890615625495
2023-12-20,ILI incidence,2023-12-17,1,BE,quantile,0.025,249.477105236148
2023-12-20,ILI incidence,2023-12-17,1,BE,quantile,0.05,264.385464671408
2023-12-20,ILI incidence,2023-12-17,1,BE,quantile,0.1,283.902541640836
2023-12-20,ILI incidence,2023-12-17,1,BE,quantile,0.15,293.257556702418
2023-12-20,ILI incidence,2023-12-17,1,BE,quantile,0.2,301.352248550659
2023-12-20,ILI incidence,2023-12-17,1,BE,quantile,0.25,307.457118292246
2023-12-20,ILI incidence,2023-12-17,1,BE,quantile,0.3,314.034831763617
2023-12-20,ILI incidence,2023-12-17,1,BE,quantile,0.35,319.490451020931
2023-12-20,ILI incidence,2023-12-17,1,BE,quantile,0.4,324.665896878111
2023-12-20,ILI incidence,2023-12-17,1,BE,quantile,0.45,330.232243815293
2023-12-20,ILI incidence,2023-12-17,1,BE,quantile,0.5,335.10791285658
2023-12-20,ILI incidence,2023-12-17,1,BE,quantile,0.55,342.031814977315
2023-12-20,ILI incidence,2023-12-17,1,BE,quantile,0.6,352.172497294016
2023-12-20,ILI incidence,2023-12-17,1,BE,quantile,0.65,362.808239392818
2023-12-20,ILI incidence,2023-12-17,1,BE,quantile,0.7,371.668873490748
2023-12-20,ILI incidence,2023-12-17,1,BE,quantile,0.75,380.061105973928
2023-12-20,ILI incidence,2023-12-17,1,BE,quantile,0.8,389.082511578757
2023-12-20,ILI incidence,2023-12-17,1,BE,quantile,0.85,399.747289947227
2023-12-20,ILI incidence,2023-12-17,1,BE,quantile,0.9,414.135802918121
2023-12-20,ILI incidence,2023-12-17,1,BE,quantile,0.95,432.316201634044
2023-12-20,ILI incidence,2023-12-17,1,BE,quantile,0.975,448.821676645747
2023-12-20,ILI incidence,2023-12-17,1,BE,quantile,0.99,465.715697077708
2023-12-20,ILI incidence,2023-12-17,1,CZ,median,,43.2937275026965
2023-12-20,ILI incidence,2023-12-17,1,CZ,quantile,0.01,29.1331511883202
