"origin_date","target","target_end_date","horizon","location","output_type","output_type_id","value"
2024-05-01,"ILI incidence",2024-04-14,1,"BE","median","",38.16
2024-05-01,"ILI incidence",2024-04-14,1,"CH","median","",25.85
2024-05-01,"ILI incidence",2024-04-14,1,"CZ","median","",11.66
2024-05-01,"ILI incidence",2024-04-14,1,"DK","median","",91.74
2024-05-01,"ILI incidence",2024-04-14,1,"FI","median","",6.82
2024-05-01,"ILI incidence",2024-04-14,1,"FR","median","",34.8
2024-05-01,"ILI incidence",2024-04-14,1,"HR","median","",0.15
2024-05-01,"ILI incidence",2024-04-14,1,"HU","median","",55.64
2024-05-01,"ILI incidence",2024-04-14,1,"IE","median","",2.32
2024-05-01,"ILI incidence",2024-04-14,1,"LT","median","",5.9
2024-05-01,"ILI incidence",2024-04-14,1,"NL","median","",13.88
2024-05-01,"ILI incidence",2024-04-14,1,"NO","median","",6
2024-05-01,"ILI incidence",2024-04-14,1,"PL","median","",144.44
2024-05-01,"ILI incidence",2024-04-14,1,"RO","median","",0.03
2024-05-01,"ILI incidence",2024-04-21,2,"BE","median","",25.84
2024-05-01,"ILI incidence",2024-04-21,2,"CH","median","",20.92
2024-05-01,"ILI incidence",2024-04-21,2,"CZ","median","",9.7
2024-05-01,"ILI incidence",2024-04-21,2,"DK","median","",75.72
2024-05-01,"ILI incidence",2024-04-21,2,"FI","median","",5.5
2024-05-01,"ILI incidence",2024-04-21,2,"FR","median","",29.08
2024-05-01,"ILI incidence",2024-04-21,2,"HR","median","",0.08
2024-05-01,"ILI incidence",2024-04-21,2,"HU","median","",39.41
2024-05-01,"ILI incidence",2024-04-21,2,"IE","median","",2.18
2024-05-01,"ILI incidence",2024-04-21,2,"LT","median","",5.39
2024-05-01,"ILI incidence",2024-04-21,2,"NL","median","",11.61
2024-05-01,"ILI incidence",2024-04-21,2,"NO","median","",5.42
2024-05-01,"ILI incidence",2024-04-21,2,"PL","median","",109.4
2024-05-01,"ILI incidence",2024-04-21,2,"RO","median","",0
2024-05-01,"ILI incidence",2024-04-28,1,"AT","median","",1085.35986514543
2024-05-01,"ILI incidence",2024-04-28,1,"AT","quantile","0.01",75.5613693598596
2024-05-01,"ILI incidence",2024-04-28,1,"AT","quantile","0.025",122.067181482427
2024-05-01,"ILI incidence",2024-04-28,1,"AT","quantile","0.05",205.181294054527
2024-05-01,"ILI incidence",2024-04-28,1,"AT","quantile","0.1",366.216001566194
2024-05-01,"ILI incidence",2024-04-28,1,"AT","quantile","0.15",496.421546946484
2024-05-01,"ILI incidence",2024-04-28,1,"AT","quantile","0.2",595.946828647968
2024-05-01,"ILI incidence",2024-04-28,1,"AT","quantile","0.25",676.876618007963
2024-05-01,"ILI incidence",2024-04-28,1,"AT","quantile","0.3",752.593861414339
2024-05-01,"ILI incidence",2024-04-28,1,"AT","quantile","0.35",836.464537268631
2024-05-01,"ILI incidence",2024-04-28,1,"AT","quantile","0.4",920.251037122763
2024-05-01,"ILI incidence",2024-04-28,1,"AT","quantile","0.45",999.306126546362
2024-05-01,"ILI incidence",2024-04-28,1,"AT","quantile","0.5",1085.35986514543
2024-05-01,"ILI incidence",2024-04-28,1,"AT","quantile","0.55",1177.77202534106
2024-05-01,"ILI incidence",2024-04-28,1,"AT","quantile","0.6",1284.07801986647
2024-05-01,"ILI incidence",2024-04-28,1,"AT","quantile","0.65",1388.50082469267
2024-05-01,"ILI incidence",2024-04-28,1,"AT","quantile","0.7",1468.83021491996
2024-05-01,"ILI incidence",2024-04-28,1,"AT","quantile","0.75",1597.03263234432
2024-05-01,"ILI incidence",2024-04-28,1,"AT","quantile","0.8",1713.41045324962
2024-05-01,"ILI incidence",2024-04-28,1,"AT","quantile","0.85",1905.6168396128
2024-05-01,"ILI incidence",2024-04-28,1,"AT","quantile","0.9",2094.14272047922
2024-05-01,"ILI incidence",2024-04-28,1,"AT","quantile","0.95",2305.82321333247
2024-05-01,"ILI incidence",2024-04-28,1,"AT","quantile","0.975",2411.09192135946
2024-05-01,"ILI incidence",2024-04-28,1,"AT","quantile","0.99",2494.27680356056
2024-05-01,"ILI incidence",2024-04-28,1,"BE","median","",40.3831610362672
2024-05-01,"ILI incidence",2024-04-28,1,"BE","quantile","0.01",9.49705336782823
2024-05-01,"ILI incidence",2024-04-28,1,"BE","quantile","0.025",11.3721514986282
2024-05-01,"ILI incidence",2024-04-28,1,"BE","quantile","0.05",14.2988479068823
2024-05-01,"ILI incidence",2024-04-28,1,"BE","quantile","0.1",17.6061091636024
2024-05-01,"ILI incidence",2024-04-28,1,"BE","quantile","0.15",19.270143600057
2024-05-01,"ILI incidence",2024-04-28,1,"BE","quantile","0.2",21.3477796642446
2024-05-01,"ILI incidence",2024-04-28,1,"BE","quantile","0.25",24.1562202502616
2024-05-01,"ILI incidence",2024-04-28,1,"BE","quantile","0.3",27.3547488889383
2024-05-01,"ILI incidence",2024-04-28,1,"BE","quantile","0.35",31.7799469291792
2024-05-01,"ILI incidence",2024-04-28,1,"BE","quantile","0.4",34.9071181935928
2024-05-01,"ILI incidence",2024-04-28,1,"BE","quantile","0.45",37.4334009497953
2024-05-01,"ILI incidence",2024-04-28,1,"BE","quantile","0.5",40.3831610362672
2024-05-01,"ILI incidence",2024-04-28,1,"BE","quantile","0.55",45.422231145729
2024-05-01,"ILI incidence",2024-04-28,1,"BE","quantile","0.6",49.498173531129
2024-05-01,"ILI incidence",2024-04-28,1,"BE","quantile","0.65",54.1310397443282
2024-05-01,"ILI incidence",2024-04-28,1,"BE","quantile","0.7",59.4634846925671
2024-05-01,"ILI incidence",2024-04-28,1,"BE","quantile","0.75",65.5099635283583
2024-05-01,"ILI incidence",2024-04-28,1,"BE","quantile","0.8",73.8312996651874
2024-05-01,"ILI incidence",2024-04-28,1,"BE","quantile","0.85",83.4309583474395
2024-05-01,"ILI incidence",2024-04-28,1,"BE","quantile","0.9",94.0515768163045
2024-05-01,"ILI incidence",2024-04-28,1,"BE","quantile","0.95",107.651237211444
2024-05-01,"ILI incidence",2024-04-28,1,"BE","quantile","0.975",124.313501050361
2024-05-01,"ILI incidence",2024-04-28,1,"BE","quantile","0.99",138.877062089749
2024-05-01,"ILI incidence",2024-04-28,1,"CH","median","",29.6302874126286
2024-05-01,"ILI incidence",2024-04-28,1,"CH","quantile","0.01",19.7773959390524
2024-05-01,"ILI incidence",2024-04-28,1,"CH","quantile","0.025",20.5089554847575
2024-05-01,"ILI incidence",2024-04-28,1,"CH","quantile","0.05",21.9701572306989
2024-05-01,"ILI incidence",2024-04-28,1,"CH","quantile","0.1",23.9174352614325
2024-05-01,"ILI incidence",2024-04-28,1,"CH","quantile","0.15",24.5
2024-05-01,"ILI incidence",2024-04-28,1,"CH","quantile","0.2",26.0277238598573
2024-05-01,"ILI incidence",2024-04-28,1,"CH","quantile","0.25",26.8701715941154
2024-05-01,"ILI incidence",2024-04-28,1,"CH","quantile","0.3",27.4152570891772
2024-05-01,"ILI incidence",2024-04-28,1,"CH","quantile","0.35",28.0133620984434
2024-05-01,"ILI incidence",2024-04-28,1,"CH","quantile","0.4",28.5983014824687
2024-05-01,"ILI incidence",2024-04-28,1,"CH","quantile","0.45",29.1064866759559
2024-05-01,"ILI incidence",2024-04-28,1,"CH","quantile","0.5",29.6241177682845
2024-05-01,"ILI incidence",2024-04-28,1,"CH","quantile","0.55",30.1062606132795
2024-05-01,"ILI incidence",2024-04-28,1,"CH","quantile","0.6",30.6282082092322
2024-05-01,"ILI incidence",2024-04-28,1,"CH","quantile","0.65",31.2231417998915
2024-05-01,"ILI incidence",2024-04-28,1,"CH","quantile","0.7",31.908369167169
2024-05-01,"ILI incidence",2024-04-28,1,"CH","quantile","0.75",32.7290602483341
2024-05-01,"ILI incidence",2024-04-28,1,"CH","quantile","0.8",33.4265273001726
2024-05-01,"ILI incidence",2024-04-28,1,"CH","quantile","0.85",34.5675064619596
2024-05-01,"ILI incidence",2024-04-28,1,"CH","quantile","0.9",35.9406305136453
2024-05-01,"ILI incidence",2024-04-28,1,"CH","quantile","0.95",37.5972363324437
2024-05-01,"ILI incidence",2024-04-28,1,"CH","quantile","0.975",39.0253102507893
2024-05-01,"ILI incidence",2024-04-28,1,"CH","quantile","0.99",40.6435222174664
2024-05-01,"ILI incidence",2024-04-28,1,"CZ","median","",12.9733244077434
2024-05-01,"ILI incidence",2024-04-28,1,"CZ","quantile","0.01",5.93854008408358
2024-05-01,"ILI incidence",2024-04-28,1,"CZ","quantile","0.025",6.92883383984901
2024-05-01,"ILI incidence",2024-04-28,1,"CZ","quantile","0.05",7.62090712934602
2024-05-01,"ILI incidence",2024-04-28,1,"CZ","quantile","0.1",8.48928918170107
2024-05-01,"ILI incidence",2024-04-28,1,"CZ","quantile","0.15",8.95957816228826
2024-05-01,"ILI incidence",2024-04-28,1,"CZ","quantile","0.2",9.4100136504409
2024-05-01,"ILI incidence",2024-04-28,1,"CZ","quantile","0.25",9.75530928764899
2024-05-01,"ILI incidence",2024-04-28,1,"CZ","quantile","0.3",10.3513089648805
2024-05-01,"ILI incidence",2024-04-28,1,"CZ","quantile","0.35",11.13
2024-05-01,"ILI incidence",2024-04-28,1,"CZ","quantile","0.4",11.8866225456521
2024-05-01,"ILI incidence",2024-04-28,1,"CZ","quantile","0.45",12.015753194217
2024-05-01,"ILI incidence",2024-04-28,1,"CZ","quantile","0.5",12.9733244077434
