origin_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-02-21,ILI incidence,1,2024-02-18,AT,quantile,0.010,1467.0
2024-02-21,ILI incidence,1,2024-02-18,AT,quantile,0.025,1930.9
2024-02-21,ILI incidence,1,2024-02-18,AT,quantile,0.050,2104.2000000000003
2024-02-21,ILI incidence,1,2024-02-18,AT,quantile,0.100,2210.3
2024-02-21,ILI incidence,1,2024-02-18,AT,quantile,0.150,2347.3
2024-02-21,ILI incidence,1,2024-02-18,AT,quantile,0.200,2572.6
2024-02-21,ILI incidence,1,2024-02-18,AT,quantile,0.250,2783.2
2024-02-21,ILI incidence,1,2024-02-18,AT,quantile,0.300,2946.2000000000003
2024-02-21,ILI incidence,1,2024-02-18,AT,quantile,0.350,3006.6
2024-02-21,ILI incidence,1,2024-02-18,AT,quantile,0.400,3078.4
2024-02-21,ILI incidence,1,2024-02-18,AT,quantile,0.450,3131.8
2024-02-21,ILI incidence,1,2024-02-18,AT,quantile,0.500,3161.0
2024-02-21,ILI incidence,1,2024-02-18,AT,quantile,0.550,3197.1
2024-02-21,ILI incidence,1,2024-02-18,AT,quantile,0.600,3257.2
2024-02-21,ILI incidence,1,2024-02-18,AT,quantile,0.650,3324.0
2024-02-21,ILI incidence,1,2024-02-18,AT,quantile,0.700,3380.7
2024-02-21,ILI incidence,1,2024-02-18,AT,quantile,0.750,3547.5
2024-02-21,ILI incidence,1,2024-02-18,AT,quantile,0.800,3735.6
2024-02-21,ILI incidence,1,2024-02-18,AT,quantile,0.850,3950.4
2024-02-21,ILI incidence,1,2024-02-18,AT,quantile,0.900,4113.4
2024-02-21,ILI incidence,1,2024-02-18,AT,quantile,0.950,4217.799999999999
2024-02-21,ILI incidence,1,2024-02-18,AT,quantile,0.975,4515.6
2024-02-21,ILI incidence,1,2024-02-18,AT,quantile,0.990,4979.5
2024-02-21,ILI incidence,1,2024-02-18,AT,median,,3161.0
2024-02-21,ILI incidence,2,2024-02-25,AT,quantile,0.010,1176.2250000000004
2024-02-21,ILI incidence,2,2024-02-25,AT,quantile,0.025,1476.9
2024-02-21,ILI incidence,2,2024-02-25,AT,quantile,0.050,1797.6650000000002
2024-02-21,ILI incidence,2,2024-02-25,AT,quantile,0.100,2112.6000000000004
2024-02-21,ILI incidence,2,2024-02-25,AT,quantile,0.150,2247.1
2024-02-21,ILI incidence,2,2024-02-25,AT,quantile,0.200,2399.96
2024-02-21,ILI incidence,2,2024-02-25,AT,quantile,0.250,2579.2
2024-02-21,ILI incidence,2,2024-02-25,AT,quantile,0.300,2768.5
