location,truth_date,year_week,value
AT,2024-01-14,2024-W02,2343.01124225125
AT,2024-01-07,2024-W01,2420.40588344815
AT,2023-12-31,2023-W52,2238.25574046766
AT,2023-12-24,2023-W51,3209.76230408883
AT,2023-12-17,2023-W50,3242.51597712748
AT,2023-12-03,2023-W48,2395.47853426657
AT,2023-11-26,2023-W47,2778.61155182025
AT,2023-11-19,2023-W46,2184.92925304376
AT,2023-11-12,2023-W45,2248.43487555352
AT,2023-11-05,2023-W44,2090.6240058173894
AT,2023-10-29,2023-W43,2094.04849375459
AT,2023-10-22,2023-W42,2114.81539180558
AT,2023-10-15,2023-W41,1968.66012099574
AT,2023-10-08,2023-W40,1467.6715589052
AT,2023-04-02,2023-W13,2285.22852285229
AT,2023-03-26,2023-W12,3254.98781444917
AT,2023-03-19,2023-W11,2899.82761923003
AT,2023-03-12,2023-W10,3172.79829805964
AT,2023-03-05,2023-W09,3298.52552323757
AT,2023-02-26,2023-W08,3132.7029086182906
AT,2023-02-19,2023-W07,2468.54711513773
AT,2023-02-12,2023-W06,2160.38947866658
AT,2023-02-05,2023-W05,2072.40582474416
AT,2023-01-29,2023-W04,2140.10413144905
AT,2023-01-22,2023-W03,2410.57542768274
AT,2023-01-15,2023-W02,2853.93618726952
AT,2023-01-08,2023-W01,3043.2955023119
AT,2023-01-01,2022-W52,4391.15250291036
AT,2022-12-25,2022-W51,5322.74856845393
AT,2022-12-18,2022-W50,5849.27241532694
AT,2022-12-11,2022-W49,4337.99753913068
AT,2022-12-04,2022-W48,4105.25135907639
AT,2022-11-27,2022-W47,3043.78216940967
AT,2022-11-20,2022-W46,2665.69231746839
AT,2022-11-13,2022-W45,2335.63087032606
AT,2022-11-06,2022-W44,1474.31386347643
AT,2022-10-30,2022-W43,1274.32173198136
AT,2022-10-23,2022-W42,1685.15950069348
AT,2022-10-16,2022-W41,1740.84968896176
AT,2022-10-09,2022-W40,1182.97250388234
BE,2024-01-14,2024-W02,352.891919373168
BE,2024-01-07,2024-W01,263.525653823118
BE,2023-12-31,2023-W52,199.574931315121
BE,2023-12-24,2023-W51,526.118670970734
BE,2023-12-17,2023-W50,466.931152144455
BE,2023-12-10,2023-W49,303.040284594354
BE,2023-12-03,2023-W48,278.953922789539
BE,2023-11-26,2023-W47,262.671795827755
BE,2023-11-19,2023-W46,206.90321956879
BE,2023-11-12,2023-W45,219.016417181023
BE,2023-11-05,2023-W44,178.170779992081
BE,2023-10-29,2023-W43,80.3132215641
BE,2023-10-22,2023-W42,183.11999853504
BE,2023-10-15,2023-W41,175.914388331012
BE,2023-10-08,2023-W40,173.352221890844
BE,2023-10-01,2023-W39,205.843777324395
BE,2023-09-24,2023-W38,161.858516614301
BE,2023-09-17,2023-W37,151.127410482197
BE,2023-09-10,2023-W36,168.223471601222
BE,2023-09-03,2023-W35,94.1782467470065
BE,2023-08-27,2023-W34,97.9268176172733
BE,2023-08-20,2023-W33,87.085026653296
BE,2023-08-13,2023-W32,32.6782129685822
BE,2023-08-06,2023-W31,65.2851486816612
BE,2023-07-30,2023-W30,42.641650231864
BE,2023-07-23,2023-W29,35.1511499447625
BE,2023-07-16,2023-W28,13.8651384202986
BE,2023-07-09,2023-W27,57.3964105167885
BE,2023-07-02,2023-W26,33.9743154175443
BE,2023-06-25,2023-W25,45.4437682762981
BE,2023-06-18,2023-W24,39.2375524027838
BE,2023-06-11,2023-W23,65.5640624339072
BE,2023-06-04,2023-W22,37.5293815552966
BE,2023-05-28,2023-W21,49.413483435741
BE,2023-05-21,2023-W20,33.8794376013358
BE,2023-05-14,2023-W19,74.1798490440072
BE,2023-05-07,2023-W18,54.9787485990992
BE,2023-04-30,2023-W17,48.7536035272172
BE,2023-04-23,2023-W16,114.480732676689
BE,2023-04-16,2023-W15,79.49652202716132
BE,2023-04-09,2023-W14,147.509107569899
BE,2023-04-02,2023-W13,286.612942249353
BE,2023-03-26,2023-W12,366.662546862769
BE,2023-03-19,2023-W11,274.20554787969
BE,2023-03-12,2023-W10,376.363601627725
BE,2023-03-05,2023-W09,383.458798361218
BE,2023-02-26,2023-W08,376.34858242034
BE,2023-02-19,2023-W07,598.602606374627
BE,2023-02-12,2023-W06,569.498841019902
BE,2023-02-05,2023-W05,581.038046818258
BE,2023-01-29,2023-W04,423.598747621094
BE,2023-01-22,2023-W03,377.848395597582
BE,2023-01-15,2023-W02,484.674855774891
BE,2023-01-08,2023-W01,676.112052958747
BE,2023-01-01,2022-W52,841.994803118129
BE,2022-12-25,2022-W51,850.039105915284
BE,2022-12-18,2022-W50,655.366790848271
BE,2022-12-11,2022-W49,260.135270340577
BE,2022-12-04,2022-W48,210.937802376437
BE,2022-11-27,2022-W47,210.276279667452
BE,2022-11-20,2022-W46,132.77807954614
BE,2022-11-13,2022-W45,94.6473881348423
BE,2022-11-06,2022-W44,76.850449026195
BE,2022-10-30,2022-W43,93.0494243919328
BE,2022-10-23,2022-W42,182.605167049912
BE,2022-10-16,2022-W41,145.594005788249
BE,2022-10-09,2022-W40,176.711659209685
BE,2022-10-02,2022-W39,181.906378850352
BE,2022-09-25,2022-W38,207.208046191097
BE,2022-09-18,2022-W37,122.396716001958
BE,2022-09-11,2022-W36,52.1199211402932
BE,2022-09-04,2022-W35,89.126559714795
BE,2022-08-28,2022-W34,93.1167144502438
BE,2022-08-21,2022-W33,67.0937581161804
BE,2022-08-14,2022-W32,95.4603309291472
BE,2022-08-07,2022-W31,98.3652630099771
BE,2022-07-31,2022-W30,130.018248175182
BE,2022-07-24,2022-W29,59.1682632705962
BE,2022-07-17,2022-W28,72.5027480880324
BE,2022-07-10,2022-W27,148.044935992336
BE,2022-07-03,2022-W26,197.749027032713
BE,2022-06-26,2022-W25,172.739650862682
HR,2024-01-14,2024-W02,28.1775033185262
HR,2024-01-07,2024-W01,18.3295561385838
HR,2023-12-31,2023-W52,10.6471261395712
HR,2023-12-24,2023-W51,8.04334952916758
HR,2023-12-17,2023-W50,2.65533654328289
HR,2023-12-10,2023-W49,0.928078791827029
HR,2023-12-03,2023-W48,0.360919530154956
HR,2023-11-26,2023-W47,0.309359597275676
HR,2023-11-19,2023-W46,0.206239731517118
HR,2023-11-12,2023-W45,0.154679798637838
HR,2023-11-05,2023-W44,0.206239731517118
HR,2023-10-29,2023-W43,0.335139563715316
HR,2023-10-22,2023-W42,0.180459765077478
HR,2023-10-15,2023-W41,0.180459765077478
HR,2023-10-08,2023-W40,0.154679798637838
HR,2023-09-03,2023-W35,0.386699496594595
HR,2023-07-30,2023-W30,0.103119865758559
HR,2023-07-02,2023-W26,0.592939228111713
HR,2023-05-21,2023-W20,0.309359597275676
HR,2023-05-14,2023-W19,0.489819362353154
HR,2023-05-07,2023-W18,1.72725775145586
HR,2023-04-30,2023-W17,1.4952380534991
HR,2023-04-23,2023-W16,4.40837426117839
HR,2023-04-16,2023-W15,6.80591114006488
HR,2023-04-09,2023-W14,9.22922798539101
HR,2023-04-02,2023-W13,12.5806236225442
HR,2023-03-26,2023-W12,19.6701143934451
HR,2023-03-19,2023-W11,24.0011487553046
